,Phonemes,No_Stress,Sonority,Type,Length,Prediction,Edit_Distance,Insertions,Deletions,Substitutions,Error_Indices
7596,"['ZH', 'P', 'AY']","['ZH', 'P', 'AY']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7597,"['AY', 'ZH', 'P']","['AY', 'ZH', 'P']",1,VCC,3,"['AY', 'ZH', 'P']",0,0,0,0,[]
7598,"['ZH', 'P', 'ER']","['ZH', 'P', 'ER']",-1,CCV,3,"['ZH', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
7599,"['ER', 'ZH', 'P']","['ER', 'ZH', 'P']",1,VCC,3,"['ER', 'ZH', 'P']",0,0,0,0,[]
7600,"['ZH', 'P', 'AO']","['ZH', 'P', 'AO']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7601,"['AO', 'ZH', 'P']","['AO', 'ZH', 'P']",1,VCC,3,"['AO', 'ZH', 'P']",0,0,0,0,[]
7602,"['ZH', 'P', 'UW']","['ZH', 'P', 'UW']",-1,CCV,3,"['ZH', 'UW', 'P']",2,1,1,0,"[2, 3]"
7603,"['UW', 'ZH', 'P']","['UW', 'ZH', 'P']",1,VCC,3,"['UW', 'ZH', 'P']",0,0,0,0,[]
7604,"['ZH', 'P', 'IH']","['ZH', 'P', 'IH']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7605,"['IH', 'ZH', 'P']","['IH', 'ZH', 'P']",1,VCC,3,"['IH', 'ZH', 'P']",0,0,0,0,[]
7606,"['ZH', 'P', 'EH']","['ZH', 'P', 'EH']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7607,"['EH', 'ZH', 'P']","['EH', 'ZH', 'P']",1,VCC,3,"['EH', 'ZH', 'P']",0,0,0,0,[]
7608,"['ZH', 'P', 'UH']","['ZH', 'P', 'UH']",-1,CCV,3,"['ZH', 'UH', 'P']",2,1,1,0,"[2, 3]"
7609,"['UH', 'ZH', 'P']","['UH', 'ZH', 'P']",1,VCC,3,"['UH', 'ZH', 'P']",0,0,0,0,[]
7610,"['ZH', 'P', 'IY']","['ZH', 'P', 'IY']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7611,"['IY', 'ZH', 'P']","['IY', 'ZH', 'P']",1,VCC,3,"['IY', 'ZH', 'P']",0,0,0,0,[]
7612,"['ZH', 'P', 'EY']","['ZH', 'P', 'EY']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7613,"['EY', 'ZH', 'P']","['EY', 'ZH', 'P']",1,VCC,3,"['EY', 'ZH', 'P']",0,0,0,0,[]
7614,"['ZH', 'P', 'OW']","['ZH', 'P', 'OW']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7615,"['OW', 'ZH', 'P']","['OW', 'ZH', 'P']",1,VCC,3,"['OW', 'ZH', 'P']",0,0,0,0,[]
7616,"['ZH', 'P', 'AE']","['ZH', 'P', 'AE']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7617,"['AE', 'ZH', 'P']","['AE', 'ZH', 'P']",1,VCC,3,"['AE', 'ZH', 'P']",0,0,0,0,[]
7618,"['ZH', 'P', 'AW']","['ZH', 'P', 'AW']",-1,CCV,3,"['ZH', 'P', '<EOS>']",1,0,0,1,[3]
7619,"['AW', 'ZH', 'P']","['AW', 'ZH', 'P']",1,VCC,3,"['AW', 'ZH', 'P']",0,0,0,0,[]
7620,"['ZH', 'T', 'AH']","['ZH', 'T', 'AH']",-1,CCV,3,"['ZH', 'AH', 'T']",2,1,1,0,"[2, 3]"
7621,"['AH', 'ZH', 'T']","['AH', 'ZH', 'T']",1,VCC,3,"['AH', 'ZH', 'T']",0,0,0,0,[]
7622,"['ZH', 'T', 'OY']","['ZH', 'T', 'OY']",-1,CCV,3,"['ZH', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
7623,"['OY', 'ZH', 'T']","['OY', 'ZH', 'T']",1,VCC,3,"['OY', 'ZH', '<EOS>']",1,0,0,1,[3]
7624,"['ZH', 'T', 'AA']","['ZH', 'T', 'AA']",-1,CCV,3,"['ZH', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
7625,"['AA', 'ZH', 'T']","['AA', 'ZH', 'T']",1,VCC,3,"['AA', 'ZH', '<EOS>']",1,0,0,1,[3]
7626,"['ZH', 'T', 'AY']","['ZH', 'T', 'AY']",-1,CCV,3,"['ZH', 'AY', '<EOS>']",2,0,0,2,"[2, 3]"
7627,"['AY', 'ZH', 'T']","['AY', 'ZH', 'T']",1,VCC,3,"['AY', 'ZH', '<EOS>']",1,0,0,1,[3]
7628,"['ZH', 'T', 'ER']","['ZH', 'T', 'ER']",-1,CCV,3,"['ZH', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
7629,"['ER', 'ZH', 'T']","['ER', 'ZH', 'T']",1,VCC,3,"['ER', 'ZH', '<EOS>']",1,0,0,1,[3]
7630,"['ZH', 'T', 'AO']","['ZH', 'T', 'AO']",-1,CCV,3,"['T', 'AH', '<EOS>']",3,0,0,3,"[1, 2, 3]"
7631,"['AO', 'ZH', 'T']","['AO', 'ZH', 'T']",1,VCC,3,"['AO', 'ZH', '<EOS>']",1,0,0,1,[3]
7632,"['ZH', 'T', 'UW']","['ZH', 'T', 'UW']",-1,CCV,3,"['ZH', 'UW', '<EOS>']",2,0,0,2,"[2, 3]"
7633,"['UW', 'ZH', 'T']","['UW', 'ZH', 'T']",1,VCC,3,"['UW', 'ZH', '<EOS>']",1,0,0,1,[3]
7634,"['ZH', 'T', 'IH']","['ZH', 'T', 'IH']",-1,CCV,3,"['ZH', 'IH', '<EOS>']",2,0,0,2,"[2, 3]"
7635,"['IH', 'ZH', 'T']","['IH', 'ZH', 'T']",1,VCC,3,"['IH', 'ZH', '<EOS>']",1,0,0,1,[3]
7636,"['ZH', 'T', 'EH']","['ZH', 'T', 'EH']",-1,CCV,3,"['ZH', 'EH', '<EOS>']",2,0,0,2,"[2, 3]"
7637,"['EH', 'ZH', 'T']","['EH', 'ZH', 'T']",1,VCC,3,"['EH', 'ZH', '<EOS>']",1,0,0,1,[3]
7638,"['ZH', 'T', 'UH']","['ZH', 'T', 'UH']",-1,CCV,3,"['ZH', 'UH', 'T']",2,1,1,0,"[2, 3]"
7639,"['UH', 'ZH', 'T']","['UH', 'ZH', 'T']",1,VCC,3,"['ZH', 'UH', 'T']",2,1,1,0,"[1, 2]"
7640,"['ZH', 'T', 'IY']","['ZH', 'T', 'IY']",-1,CCV,3,"['ZH', 'AH', 'IY']",1,0,0,1,[2]
7641,"['IY', 'ZH', 'T']","['IY', 'ZH', 'T']",1,VCC,3,"['IY', 'ZH', '<EOS>']",1,0,0,1,[3]
7642,"['ZH', 'T', 'EY']","['ZH', 'T', 'EY']",-1,CCV,3,"['ZH', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
7643,"['EY', 'ZH', 'T']","['EY', 'ZH', 'T']",1,VCC,3,"['EY', 'ZH', '<EOS>']",1,0,0,1,[3]
7644,"['ZH', 'T', 'OW']","['ZH', 'T', 'OW']",-1,CCV,3,"['ZH', 'ZH', 'ER']",2,0,0,2,"[2, 3]"
7645,"['OW', 'ZH', 'T']","['OW', 'ZH', 'T']",1,VCC,3,"['OW', 'ZH', '<EOS>']",1,0,0,1,[3]
7646,"['ZH', 'T', 'AE']","['ZH', 'T', 'AE']",-1,CCV,3,"['ZH', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
7647,"['AE', 'ZH', 'T']","['AE', 'ZH', 'T']",1,VCC,3,"['AE', 'ZH', '<EOS>']",1,0,0,1,[3]
7648,"['ZH', 'T', 'AW']","['ZH', 'T', 'AW']",-1,CCV,3,"['ZH', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
7649,"['AW', 'ZH', 'T']","['AW', 'ZH', 'T']",1,VCC,3,"['AW', 'ZH', '<EOS>']",1,0,0,1,[3]
7650,"['ZH', 'K', 'AH']","['ZH', 'K', 'AH']",-1,CCV,3,"['ZH', 'K', '<EOS>']",1,0,0,1,[3]
7651,"['AH', 'ZH', 'K']","['AH', 'ZH', 'K']",1,VCC,3,"['AH', 'ZH', 'K']",0,0,0,0,[]
7652,"['ZH', 'K', 'OY']","['ZH', 'K', 'OY']",-1,CCV,3,"['ZH', 'OY', 'K']",2,1,1,0,"[2, 3]"
7653,"['OY', 'ZH', 'K']","['OY', 'ZH', 'K']",1,VCC,3,"['OY', 'ZH', '<EOS>']",1,0,0,1,[3]
7654,"['ZH', 'K', 'AA']","['ZH', 'K', 'AA']",-1,CCV,3,"['ZH', 'K', '<EOS>']",1,0,0,1,[3]
7655,"['AA', 'ZH', 'K']","['AA', 'ZH', 'K']",1,VCC,3,"['AA', 'ZH', '<EOS>']",1,0,0,1,[3]
7656,"['ZH', 'K', 'AY']","['ZH', 'K', 'AY']",-1,CCV,3,"['ZH', 'AY', 'K']",2,1,1,0,"[2, 3]"
7657,"['AY', 'ZH', 'K']","['AY', 'ZH', 'K']",1,VCC,3,"['AY', 'ZH', '<EOS>']",1,0,0,1,[3]
7658,"['ZH', 'K', 'ER']","['ZH', 'K', 'ER']",-1,CCV,3,"['ZH', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
7659,"['ER', 'ZH', 'K']","['ER', 'ZH', 'K']",1,VCC,3,"['ER', 'ZH', '<EOS>']",1,0,0,1,[3]
7660,"['ZH', 'K', 'AO']","['ZH', 'K', 'AO']",-1,CCV,3,"['K', 'AE', '<EOS>']",3,0,0,3,"[1, 2, 3]"
7661,"['AO', 'ZH', 'K']","['AO', 'ZH', 'K']",1,VCC,3,"['AO', 'ZH', '<EOS>']",1,0,0,1,[3]
7662,"['ZH', 'K', 'UW']","['ZH', 'K', 'UW']",-1,CCV,3,"['K', 'UW', 'ZH']",2,1,1,0,"[1, 2, 3]"
7663,"['UW', 'ZH', 'K']","['UW', 'ZH', 'K']",1,VCC,3,"['UW', 'ZH', '<EOS>']",1,0,0,1,[3]
7664,"['ZH', 'K', 'IH']","['ZH', 'K', 'IH']",-1,CCV,3,"['ZH', 'IH', '<EOS>']",2,0,0,2,"[2, 3]"
7665,"['IH', 'ZH', 'K']","['IH', 'ZH', 'K']",1,VCC,3,"['IH', 'ZH', '<EOS>']",1,0,0,1,[3]
7666,"['ZH', 'K', 'EH']","['ZH', 'K', 'EH']",-1,CCV,3,"['ZH', 'EH', '<EOS>']",2,0,0,2,"[2, 3]"
7667,"['EH', 'ZH', 'K']","['EH', 'ZH', 'K']",1,VCC,3,"['EH', 'ZH', '<EOS>']",1,0,0,1,[3]
7668,"['ZH', 'K', 'UH']","['ZH', 'K', 'UH']",-1,CCV,3,"['ZH', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
7669,"['UH', 'ZH', 'K']","['UH', 'ZH', 'K']",1,VCC,3,"['UH', 'ZH', 'K']",0,0,0,0,[]
7670,"['ZH', 'K', 'IY']","['ZH', 'K', 'IY']",-1,CCV,3,"['ZH', 'K', '<EOS>']",1,0,0,1,[3]
7671,"['IY', 'ZH', 'K']","['IY', 'ZH', 'K']",1,VCC,3,"['IY', 'ZH', 'K']",0,0,0,0,[]
7672,"['ZH', 'K', 'EY']","['ZH', 'K', 'EY']",-1,CCV,3,"['ZH', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
7673,"['EY', 'ZH', 'K']","['EY', 'ZH', 'K']",1,VCC,3,"['EY', 'ZH', '<EOS>']",1,0,0,1,[3]
7674,"['ZH', 'K', 'OW']","['ZH', 'K', 'OW']",-1,CCV,3,"['ZH', 'K', '<EOS>']",1,0,0,1,[3]
7675,"['OW', 'ZH', 'K']","['OW', 'ZH', 'K']",1,VCC,3,"['OW', 'ZH', '<EOS>']",1,0,0,1,[3]
7676,"['ZH', 'K', 'AE']","['ZH', 'K', 'AE']",-1,CCV,3,"['ZH', 'AE', 'K']",2,1,1,0,"[2, 3]"
7677,"['AE', 'ZH', 'K']","['AE', 'ZH', 'K']",1,VCC,3,"['AE', 'ZH', 'K']",0,0,0,0,[]
7678,"['ZH', 'K', 'AW']","['ZH', 'K', 'AW']",-1,CCV,3,"['ZH', 'K', '<EOS>']",1,0,0,1,[3]
7679,"['AW', 'ZH', 'K']","['AW', 'ZH', 'K']",1,VCC,3,"['AW', 'ZH', 'K']",0,0,0,0,[]
7680,"['ZH', 'B', 'AH']","['ZH', 'B', 'AH']",-1,CCV,3,"['ZH', 'AH', 'B']",2,1,1,0,"[2, 3]"
7681,"['AH', 'ZH', 'B']","['AH', 'ZH', 'B']",1,VCC,3,"['AH', 'ZH', 'B']",0,0,0,0,[]
7682,"['ZH', 'B', 'OY']","['ZH', 'B', 'OY']",-1,CCV,3,"['ZH', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
7683,"['OY', 'ZH', 'B']","['OY', 'ZH', 'B']",1,VCC,3,"['OY', 'ZH', '<EOS>']",1,0,0,1,[3]
7684,"['ZH', 'B', 'AA']","['ZH', 'B', 'AA']",-1,CCV,3,"['ZH', 'B', '<EOS>']",1,0,0,1,[3]
7685,"['AA', 'ZH', 'B']","['AA', 'ZH', 'B']",1,VCC,3,"['AA', 'ZH', 'B']",0,0,0,0,[]
7686,"['ZH', 'B', 'AY']","['ZH', 'B', 'AY']",-1,CCV,3,"['ZH', 'AY', '<EOS>']",2,0,0,2,"[2, 3]"
7687,"['AY', 'ZH', 'B']","['AY', 'ZH', 'B']",1,VCC,3,"['AY', 'ZH', '<EOS>']",1,0,0,1,[3]
7688,"['ZH', 'B', 'ER']","['ZH', 'B', 'ER']",-1,CCV,3,"['ZH', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
7689,"['ER', 'ZH', 'B']","['ER', 'ZH', 'B']",1,VCC,3,"['ER', 'ZH', '<EOS>']",1,0,0,1,[3]
7690,"['ZH', 'B', 'AO']","['ZH', 'B', 'AO']",-1,CCV,3,"['ZH', 'AH', 'B']",2,1,1,0,"[2, 3]"
7691,"['AO', 'ZH', 'B']","['AO', 'ZH', 'B']",1,VCC,3,"['AO', 'ZH', 'B']",0,0,0,0,[]
7692,"['ZH', 'B', 'UW']","['ZH', 'B', 'UW']",-1,CCV,3,"['ZH', 'UW', 'B']",2,1,1,0,"[2, 3]"
7693,"['UW', 'ZH', 'B']","['UW', 'ZH', 'B']",1,VCC,3,"['UW', 'ZH', 'B']",0,0,0,0,[]
7694,"['ZH', 'B', 'IH']","['ZH', 'B', 'IH']",-1,CCV,3,"['ZH', 'IH', 'B']",2,1,1,0,"[2, 3]"
7695,"['IH', 'ZH', 'B']","['IH', 'ZH', 'B']",1,VCC,3,"['IH', 'ZH', '<EOS>']",1,0,0,1,[3]
7696,"['ZH', 'B', 'EH']","['ZH', 'B', 'EH']",-1,CCV,3,"['ZH', 'B', '<EOS>']",1,0,0,1,[3]
7697,"['EH', 'ZH', 'B']","['EH', 'ZH', 'B']",1,VCC,3,"['EH', 'ZH', '<EOS>']",1,0,0,1,[3]
7698,"['ZH', 'B', 'UH']","['ZH', 'B', 'UH']",-1,CCV,3,"['ZH', 'UH', 'B']",2,1,1,0,"[2, 3]"
7699,"['UH', 'ZH', 'B']","['UH', 'ZH', 'B']",1,VCC,3,"['UH', 'ZH', 'B']",0,0,0,0,[]
7700,"['ZH', 'B', 'IY']","['ZH', 'B', 'IY']",-1,CCV,3,"['ZH', 'B', '<EOS>']",1,0,0,1,[3]
7701,"['IY', 'ZH', 'B']","['IY', 'ZH', 'B']",1,VCC,3,"['IY', 'ZH', 'B']",0,0,0,0,[]
7702,"['ZH', 'B', 'EY']","['ZH', 'B', 'EY']",-1,CCV,3,"['ZH', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
7703,"['EY', 'ZH', 'B']","['EY', 'ZH', 'B']",1,VCC,3,"['EY', 'ZH', '<EOS>']",1,0,0,1,[3]
7704,"['ZH', 'B', 'OW']","['ZH', 'B', 'OW']",-1,CCV,3,"['ZH', 'B', '<EOS>']",1,0,0,1,[3]
7705,"['OW', 'ZH', 'B']","['OW', 'ZH', 'B']",1,VCC,3,"['OW', 'ZH', '<EOS>']",1,0,0,1,[3]
7706,"['ZH', 'B', 'AE']","['ZH', 'B', 'AE']",-1,CCV,3,"['ZH', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
7707,"['AE', 'ZH', 'B']","['AE', 'ZH', 'B']",1,VCC,3,"['AE', 'ZH', 'B']",0,0,0,0,[]
7708,"['ZH', 'B', 'AW']","['ZH', 'B', 'AW']",-1,CCV,3,"['ZH', 'B', '<EOS>']",1,0,0,1,[3]
7709,"['AW', 'ZH', 'B']","['AW', 'ZH', 'B']",1,VCC,3,"['AW', 'ZH', 'B']",0,0,0,0,[]
7710,"['ZH', 'D', 'AH']","['ZH', 'D', 'AH']",-1,CCV,3,"['ZH', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
7711,"['AH', 'ZH', 'D']","['AH', 'ZH', 'D']",1,VCC,3,"['AH', 'D', '<EOS>']",2,0,0,2,"[2, 3]"
7712,"['ZH', 'D', 'OY']","['ZH', 'D', 'OY']",-1,CCV,3,"['ZH', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
7713,"['OY', 'ZH', 'D']","['OY', 'ZH', 'D']",1,VCC,3,"['OY', 'ZH', '<EOS>']",1,0,0,1,[3]
7714,"['ZH', 'D', 'AA']","['ZH', 'D', 'AA']",-1,CCV,3,"['ZH', 'D', '<EOS>']",1,0,0,1,[3]
7715,"['AA', 'ZH', 'D']","['AA', 'ZH', 'D']",1,VCC,3,"['AA', 'ZH', '<EOS>']",1,0,0,1,[3]
7716,"['ZH', 'D', 'AY']","['ZH', 'D', 'AY']",-1,CCV,3,"['ZH', 'AY', '<EOS>']",2,0,0,2,"[2, 3]"
7717,"['AY', 'ZH', 'D']","['AY', 'ZH', 'D']",1,VCC,3,"['AY', 'D', '<EOS>']",2,0,0,2,"[2, 3]"
7718,"['ZH', 'D', 'ER']","['ZH', 'D', 'ER']",-1,CCV,3,"['ZH', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
7719,"['ER', 'ZH', 'D']","['ER', 'ZH', 'D']",1,VCC,3,"['ER', 'ZH', '<EOS>']",1,0,0,1,[3]
7720,"['ZH', 'D', 'AO']","['ZH', 'D', 'AO']",-1,CCV,3,"['DH', 'AH', '<EOS>']",3,0,0,3,"[1, 2, 3]"
7721,"['AO', 'ZH', 'D']","['AO', 'ZH', 'D']",1,VCC,3,"['AO', 'ZH', '<EOS>']",1,0,0,1,[3]
7722,"['ZH', 'D', 'UW']","['ZH', 'D', 'UW']",-1,CCV,3,"['DH', 'AH', '<EOS>']",3,0,0,3,"[1, 2, 3]"
7723,"['UW', 'ZH', 'D']","['UW', 'ZH', 'D']",1,VCC,3,"['UW', 'ZH', '<EOS>']",1,0,0,1,[3]
7724,"['ZH', 'D', 'IH']","['ZH', 'D', 'IH']",-1,CCV,3,"['ZH', 'IH', '<EOS>']",2,0,0,2,"[2, 3]"
7725,"['IH', 'ZH', 'D']","['IH', 'ZH', 'D']",1,VCC,3,"['IH', 'ZH', '<EOS>']",1,0,0,1,[3]
7726,"['ZH', 'D', 'EH']","['ZH', 'D', 'EH']",-1,CCV,3,"['ZH', 'EH', '<EOS>']",2,0,0,2,"[2, 3]"
7727,"['EH', 'ZH', 'D']","['EH', 'ZH', 'D']",1,VCC,3,"['EH', 'ZH', '<EOS>']",1,0,0,1,[3]
7728,"['ZH', 'D', 'UH']","['ZH', 'D', 'UH']",-1,CCV,3,"['ZH', 'UH', 'D']",2,1,1,0,"[2, 3]"
7729,"['UH', 'ZH', 'D']","['UH', 'ZH', 'D']",1,VCC,3,"['UH', 'ZH', '<EOS>']",1,0,0,1,[3]
7730,"['ZH', 'D', 'IY']","['ZH', 'D', 'IY']",-1,CCV,3,"['ZH', 'D', '<EOS>']",1,0,0,1,[3]
7731,"['IY', 'ZH', 'D']","['IY', 'ZH', 'D']",1,VCC,3,"['IY', 'ZH', '<EOS>']",1,0,0,1,[3]
7732,"['ZH', 'D', 'EY']","['ZH', 'D', 'EY']",-1,CCV,3,"['ZH', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
7733,"['EY', 'ZH', 'D']","['EY', 'ZH', 'D']",1,VCC,3,"['EY', 'ZH', '<EOS>']",1,0,0,1,[3]
7734,"['ZH', 'D', 'OW']","['ZH', 'D', 'OW']",-1,CCV,3,"['ZH', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
7735,"['OW', 'ZH', 'D']","['OW', 'ZH', 'D']",1,VCC,3,"['OW', 'ZH', '<EOS>']",1,0,0,1,[3]
7736,"['ZH', 'D', 'AE']","['ZH', 'D', 'AE']",-1,CCV,3,"['ZH', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
7737,"['AE', 'ZH', 'D']","['AE', 'ZH', 'D']",1,VCC,3,"['AE', 'ZH', '<EOS>']",1,0,0,1,[3]
7738,"['ZH', 'D', 'AW']","['ZH', 'D', 'AW']",-1,CCV,3,"['ZH', 'AH', 'AW']",1,0,0,1,[2]
7739,"['AW', 'ZH', 'D']","['AW', 'ZH', 'D']",1,VCC,3,"['AW', 'ZH', '<EOS>']",1,0,0,1,[3]
7740,"['ZH', 'G', 'AH']","['ZH', 'G', 'AH']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7741,"['AH', 'ZH', 'G']","['AH', 'ZH', 'G']",1,VCC,3,"['AH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7742,"['ZH', 'G', 'OY']","['ZH', 'G', 'OY']",-1,CCV,3,"['ZH', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
7743,"['OY', 'ZH', 'G']","['OY', 'ZH', 'G']",1,VCC,3,"['OY', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7744,"['ZH', 'G', 'AA']","['ZH', 'G', 'AA']",-1,CCV,3,"['G', 'ZH', '<EOS>']",3,1,1,1,"[1, 2, 3]"
7745,"['AA', 'ZH', 'G']","['AA', 'ZH', 'G']",1,VCC,3,"['AA', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7746,"['ZH', 'G', 'AY']","['ZH', 'G', 'AY']",-1,CCV,3,"['G', 'ZH', '<EOS>']",3,1,1,1,"[1, 2, 3]"
7747,"['AY', 'ZH', 'G']","['AY', 'ZH', 'G']",1,VCC,3,"['AY', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7748,"['ZH', 'G', 'ER']","['ZH', 'G', 'ER']",-1,CCV,3,"['G', 'ZH', 'ER']",2,1,1,0,"[1, 2]"
7749,"['ER', 'ZH', 'G']","['ER', 'ZH', 'G']",1,VCC,3,"['ER', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7750,"['ZH', 'G', 'AO']","['ZH', 'G', 'AO']",-1,CCV,3,"['G', 'ZH', '<EOS>']",3,1,1,1,"[1, 2, 3]"
7751,"['AO', 'ZH', 'G']","['AO', 'ZH', 'G']",1,VCC,3,"['AO', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7752,"['ZH', 'G', 'UW']","['ZH', 'G', 'UW']",-1,CCV,3,"['G', 'UW', 'ZH']",2,1,1,0,"[1, 2, 3]"
7753,"['UW', 'ZH', 'G']","['UW', 'ZH', 'G']",1,VCC,3,"['UW', 'ZH', '<EOS>']",1,0,0,1,[3]
7754,"['ZH', 'G', 'IH']","['ZH', 'G', 'IH']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7755,"['IH', 'ZH', 'G']","['IH', 'ZH', 'G']",1,VCC,3,"['IH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7756,"['ZH', 'G', 'EH']","['ZH', 'G', 'EH']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7757,"['EH', 'ZH', 'G']","['EH', 'ZH', 'G']",1,VCC,3,"['EH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7758,"['ZH', 'G', 'UH']","['ZH', 'G', 'UH']",-1,CCV,3,"['ZH', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
7759,"['UH', 'ZH', 'G']","['UH', 'ZH', 'G']",1,VCC,3,"['UH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7760,"['ZH', 'G', 'IY']","['ZH', 'G', 'IY']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7761,"['IY', 'ZH', 'G']","['IY', 'ZH', 'G']",1,VCC,3,"['AY', 'G', '<EOS>']",3,0,0,3,"[1, 2, 3]"
7762,"['ZH', 'G', 'EY']","['ZH', 'G', 'EY']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7763,"['EY', 'ZH', 'G']","['EY', 'ZH', 'G']",1,VCC,3,"['EY', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7764,"['ZH', 'G', 'OW']","['ZH', 'G', 'OW']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7765,"['OW', 'ZH', 'G']","['OW', 'ZH', 'G']",1,VCC,3,"['OW', 'ZH', '<EOS>']",1,0,0,1,[3]
7766,"['ZH', 'G', 'AE']","['ZH', 'G', 'AE']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7767,"['AE', 'ZH', 'G']","['AE', 'ZH', 'G']",1,VCC,3,"['AE', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7768,"['ZH', 'G', 'AW']","['ZH', 'G', 'AW']",-1,CCV,3,"['ZH', 'G', '<EOS>']",1,0,0,1,[3]
7769,"['AW', 'ZH', 'G']","['AW', 'ZH', 'G']",1,VCC,3,"['AW', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
7770,"['ZH', 'F', 'AH']","['ZH', 'F', 'AH']",0,CCV,3,"['ZH', 'AH', 'F']",2,1,1,0,"[2, 3]"
7771,"['AH', 'ZH', 'F']","['AH', 'ZH', 'F']",0,VCC,3,"['AH', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
7772,"['ZH', 'F', 'OY']","['ZH', 'F', 'OY']",0,CCV,3,"['ZH', 'OY', '<EOS>']",2,0,0,2,"[2, 3]"
7773,"['OY', 'ZH', 'F']","['OY', 'ZH', 'F']",0,VCC,3,"['OY', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
7774,"['ZH', 'F', 'AA']","['ZH', 'F', 'AA']",0,CCV,3,"['ZH', 'AA', 'F']",2,1,1,0,"[2, 3]"
7775,"['AA', 'ZH', 'F']","['AA', 'ZH', 'F']",0,VCC,3,"['AA', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
7776,"['ZH', 'F', 'AY']","['ZH', 'F', 'AY']",0,CCV,3,"['ZH', 'F', '<EOS>']",1,0,0,1,[3]
7777,"['AY', 'ZH', 'F']","['AY', 'ZH', 'F']",0,VCC,3,"['AY', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
7778,"['ZH', 'F', 'ER']","['ZH', 'F', 'ER']",0,CCV,3,"['F', 'ZH', 'ER']",2,1,1,0,"[1, 2]"
7779,"['ER', 'ZH', 'F']","['ER', 'ZH', 'F']",0,VCC,3,"['ER', 'ZH', '<EOS>']",1,0,0,1,[3]
7780,"['ZH', 'F', 'AO']","['ZH', 'F', 'AO']",0,CCV,3,"['F', 'OY', 'T']",3,0,0,3,"[1, 2, 3]"
7781,"['AO', 'ZH', 'F']","['AO', 'ZH', 'F']",0,VCC,3,"['AO', 'ZH', 'F']",0,0,0,0,[]
7782,"['ZH', 'F', 'UW']","['ZH', 'F', 'UW']",0,CCV,3,"['ZH', 'UW', 'F']",2,1,1,0,"[2, 3]"
