,No_Stress,Sonority,Type,Prediction
6595,"['NG', 'K', 'IY']",-3,CCV,"['K', 'IY', 'NG']"
6596,"['NG', 'K', 'EY']",-3,CCV,"['NG', 'K', 'EY']"
6597,"['NG', 'K', 'OW']",-3,CCV,"['NG', 'K', 'OW']"
6598,"['NG', 'K', 'AE']",-3,CCV,"['F', 'AE', 'NG']"
6599,"['NG', 'K', 'AW']",-3,CCV,"['K', 'AW', 'NG']"
6600,"['NG', 'B', 'AH']",-3,CCV,"['B', 'NG', '<EOS>']"
6601,"['NG', 'B', 'OY']",-3,CCV,"['B', 'OY', 'NG']"
6602,"['NG', 'B', 'AA']",-3,CCV,"['B', 'AA', 'NG']"
6603,"['NG', 'B', 'AY']",-3,CCV,"['B', 'AY', 'NG']"
6604,"['NG', 'B', 'ER']",-3,CCV,"['B', 'ER', 'NG']"
6605,"['NG', 'B', 'AO']",-3,CCV,"['B', 'AO', 'NG']"
6606,"['NG', 'B', 'UW']",-3,CCV,"['B', 'UW', 'NG']"
6607,"['NG', 'B', 'IH']",-3,CCV,"['B', 'IH', 'NG']"
6608,"['NG', 'B', 'EH']",-3,CCV,"['B', 'EH', 'NG']"
6609,"['NG', 'B', 'UH']",-3,CCV,"['CH', 'UH', 'B']"
6610,"['NG', 'B', 'IY']",-3,CCV,"['B', 'IY', 'NG']"
6611,"['NG', 'B', 'EY']",-3,CCV,"['B', 'OW', 'EY']"
6612,"['NG', 'B', 'OW']",-3,CCV,"['B', 'OW', 'NG']"
6613,"['NG', 'B', 'AE']",-3,CCV,"['B', 'AE', 'NG']"
6614,"['NG', 'B', 'AW']",-3,CCV,"['B', 'AW', 'NG']"
6615,"['NG', 'D', 'AH']",-3,CCV,"['D', 'NG', '<EOS>']"
6616,"['NG', 'D', 'OY']",-3,CCV,"['D', 'OY', 'NG']"
6617,"['NG', 'D', 'AA']",-3,CCV,"['D', 'AA', 'NG']"
6618,"['NG', 'D', 'AY']",-3,CCV,"['D', 'AY', 'NG']"
6619,"['NG', 'D', 'ER']",-3,CCV,"['S', 'D', 'ER']"
6620,"['NG', 'D', 'AO']",-3,CCV,"['D', 'AO', 'NG']"
6621,"['NG', 'D', 'UW']",-3,CCV,"['D', 'UW', 'NG']"
6622,"['NG', 'D', 'IH']",-3,CCV,"['S', 'IH', 'NG']"
6623,"['NG', 'D', 'EH']",-3,CCV,"['D', 'EH', 'NG']"
6624,"['NG', 'D', 'UH']",-3,CCV,"['S', 'UH', 'NG']"
6625,"['NG', 'D', 'IY']",-3,CCV,"['D', 'NG', 'IY']"
6626,"['NG', 'D', 'EY']",-3,CCV,"['S', 'EY', 'NG']"
6627,"['NG', 'D', 'OW']",-3,CCV,"['S', 'OW', 'NG']"
6628,"['NG', 'D', 'AE']",-3,CCV,"['DH', 'AE', 'NG']"
6629,"['NG', 'D', 'AW']",-3,CCV,"['DH', 'EY', 'IH']"
6630,"['NG', 'G', 'AH']",-3,CCV,"['M', 'IH', 'NG']"
6631,"['NG', 'G', 'OY']",-3,CCV,"['M', 'B', 'OY']"
6632,"['NG', 'G', 'AA']",-3,CCV,"['NG', 'G', 'AA']"
6633,"['NG', 'G', 'AY']",-3,CCV,"['S', 'AY', 'NG']"
6634,"['NG', 'G', 'ER']",-3,CCV,"['S', 'ER', 'NG']"
6635,"['NG', 'G', 'AO']",-3,CCV,"['M', 'AO', 'NG']"
6636,"['NG', 'G', 'UW']",-3,CCV,"['NG', 'G', 'UW']"
6637,"['NG', 'G', 'IH']",-3,CCV,"['S', 'IH', 'NG']"
6638,"['NG', 'G', 'EH']",-3,CCV,"['NG', 'G', 'EH']"
6639,"['NG', 'G', 'UH']",-3,CCV,"['M', 'UH', 'NG']"
6640,"['NG', 'G', 'IY']",-3,CCV,"['S', 'IY', 'NG']"
6641,"['NG', 'G', 'EY']",-3,CCV,"['S', 'EY', 'NG']"
6642,"['NG', 'G', 'OW']",-3,CCV,"['S', 'OW', 'NG']"
6643,"['NG', 'G', 'AE']",-3,CCV,"['S', 'AE', 'NG']"
6644,"['NG', 'G', 'AW']",-3,CCV,"['NG', 'G', 'AW']"
6645,"['NG', 'F', 'AH']",-2,CCV,"['F', 'UH', 'NG']"
6646,"['NG', 'F', 'OY']",-2,CCV,"['F', 'OY', 'NG']"
6647,"['NG', 'F', 'AA']",-2,CCV,"['F', 'AA', 'NG']"
6648,"['NG', 'F', 'AY']",-2,CCV,"['F', 'AY', 'NG']"
6649,"['NG', 'F', 'ER']",-2,CCV,"['F', 'ER', 'NG']"
6650,"['NG', 'F', 'AO']",-2,CCV,"['F', 'AO', 'NG']"
6651,"['NG', 'F', 'UW']",-2,CCV,"['F', 'UW', 'NG']"
6652,"['NG', 'F', 'IH']",-2,CCV,"['F', 'IH', 'NG']"
6653,"['NG', 'F', 'EH']",-2,CCV,"['F', 'EH', 'NG']"
6654,"['NG', 'F', 'UH']",-2,CCV,"['F', 'UH', 'NG']"
6655,"['NG', 'F', 'IY']",-2,CCV,"['F', 'UH', 'NG']"
6656,"['NG', 'F', 'EY']",-2,CCV,"['F', 'EY', 'NG']"
6657,"['NG', 'F', 'OW']",-2,CCV,"['F', 'OW', 'NG']"
6658,"['NG', 'F', 'AE']",-2,CCV,"['F', 'AE', 'NG']"
6659,"['NG', 'F', 'AW']",-2,CCV,"['F', 'AW', 'NG']"
6660,"['NG', 'TH', 'AH']",-2,CCV,"['TH', 'NG', '<EOS>']"
6661,"['NG', 'TH', 'OY']",-2,CCV,"['TH', 'NG', 'OY']"
6662,"['NG', 'TH', 'AA']",-2,CCV,"['TH', 'NG', '<EOS>']"
6663,"['NG', 'TH', 'AY']",-2,CCV,"['TH', 'NG', 'AY']"
6664,"['NG', 'TH', 'ER']",-2,CCV,"['TH', 'NG', 'ER']"
6665,"['NG', 'TH', 'AO']",-2,CCV,"['TH', 'AO', 'NG']"
6666,"['NG', 'TH', 'UW']",-2,CCV,"['TH', 'UW', 'NG']"
6667,"['NG', 'TH', 'IH']",-2,CCV,"['TH', 'IH', 'NG']"
6668,"['NG', 'TH', 'EH']",-2,CCV,"['TH', 'NG', '<EOS>']"
6669,"['NG', 'TH', 'UH']",-2,CCV,"['TH', 'UH', 'NG']"
6670,"['NG', 'TH', 'IY']",-2,CCV,"['TH', 'NG', '<EOS>']"
6671,"['NG', 'TH', 'EY']",-2,CCV,"['TH', 'EY', 'NG']"
6672,"['NG', 'TH', 'OW']",-2,CCV,"['TH', 'OW', 'NG']"
6673,"['NG', 'TH', 'AE']",-2,CCV,"['TH', 'AE', 'NG']"
6674,"['NG', 'TH', 'AW']",-2,CCV,"['TH', 'NG', '<EOS>']"
6675,"['NG', 'S', 'AH']",-2,CCV,"['S', 'AH', 'NG']"
6676,"['NG', 'S', 'OY']",-2,CCV,"['S', 'OY', 'NG']"
6677,"['NG', 'S', 'AA']",-2,CCV,"['S', 'AA', 'NG']"
6678,"['NG', 'S', 'AY']",-2,CCV,"['S', 'AY', 'NG']"
6679,"['NG', 'S', 'ER']",-2,CCV,"['S', 'ER', 'NG']"
6680,"['NG', 'S', 'AO']",-2,CCV,"['S', 'AO', 'NG']"
6681,"['NG', 'S', 'UW']",-2,CCV,"['S', 'NG', '<EOS>']"
6682,"['NG', 'S', 'IH']",-2,CCV,"['S', 'IH', 'NG']"
6683,"['NG', 'S', 'EH']",-2,CCV,"['S', 'EH', 'NG']"
6684,"['NG', 'S', 'UH']",-2,CCV,"['S', 'UH', 'NG']"
6685,"['NG', 'S', 'IY']",-2,CCV,"['S', 'IY', 'NG']"
6686,"['NG', 'S', 'EY']",-2,CCV,"['S', 'EY', 'NG']"
6687,"['NG', 'S', 'OW']",-2,CCV,"['S', 'OW', 'NG']"
6688,"['NG', 'S', 'AE']",-2,CCV,"['S', 'AE', 'NG']"
6689,"['NG', 'S', 'AW']",-2,CCV,"['DH', 'AO', '<EOS>']"
6690,"['NG', 'SH', 'AH']",-2,CCV,"['NG', 'SH', 'AH']"
6691,"['NG', 'SH', 'OY']",-2,CCV,"['SH', 'NG', 'OY']"
6692,"['NG', 'SH', 'AA']",-2,CCV,"['SH', 'NG', 'AA']"
6693,"['NG', 'SH', 'AY']",-2,CCV,"['SH', 'AY', 'NG']"
6694,"['NG', 'SH', 'ER']",-2,CCV,"['SH', 'NG', 'ER']"
6695,"['NG', 'SH', 'AO']",-2,CCV,"['SH', 'AO', 'NG']"
6696,"['NG', 'SH', 'UW']",-2,CCV,"['SH', 'NG', 'UW']"
6697,"['NG', 'SH', 'IH']",-2,CCV,"['SH', 'NG', 'IH']"
6698,"['NG', 'SH', 'EH']",-2,CCV,"['NG', 'SH', 'EH']"
6699,"['NG', 'SH', 'UH']",-2,CCV,"['SH', 'NG', 'UH']"
6700,"['NG', 'SH', 'IY']",-2,CCV,"['SH', 'NG', '<EOS>']"
6701,"['NG', 'SH', 'EY']",-2,CCV,"['SH', 'NG', 'EY']"
6702,"['NG', 'SH', 'OW']",-2,CCV,"['NG', 'SH', 'OW']"
6703,"['NG', 'SH', 'AE']",-2,CCV,"['SH', 'NG', '<EOS>']"
6704,"['NG', 'SH', 'AW']",-2,CCV,"['SH', 'NG', 'AW']"
6705,"['NG', 'Z', 'AH']",-2,CCV,"['NG', 'Z', '<EOS>']"
6706,"['NG', 'Z', 'OY']",-2,CCV,"['NG', 'Z', '<EOS>']"
6707,"['NG', 'Z', 'AA']",-2,CCV,"['NG', 'AA', 'Z']"
6708,"['NG', 'Z', 'AY']",-2,CCV,"['B', 'AY', 'NG']"
6709,"['NG', 'Z', 'ER']",-2,CCV,"['NG', 'Z', 'ER']"
6710,"['NG', 'Z', 'AO']",-2,CCV,"['NG', 'Z', 'AO']"
6711,"['NG', 'Z', 'UW']",-2,CCV,"['NG', 'UW', 'Z']"
6712,"['NG', 'Z', 'IH']",-2,CCV,"['NG', 'IH', 'Z']"
6713,"['NG', 'Z', 'EH']",-2,CCV,"['NG', 'Z', '<EOS>']"
6714,"['NG', 'Z', 'UH']",-2,CCV,"['NG', 'UH', 'Z']"
6715,"['NG', 'Z', 'IY']",-2,CCV,"['F', 'EH', 'NG']"
6716,"['NG', 'Z', 'EY']",-2,CCV,"['NG', 'EY', 'Z']"
6717,"['NG', 'Z', 'OW']",-2,CCV,"['NG', 'OW', 'P']"
6718,"['NG', 'Z', 'AE']",-2,CCV,"['F', 'AE', 'NG']"
6719,"['NG', 'Z', 'AW']",-2,CCV,"['NG', 'Z', '<EOS>']"
6720,"['NG', 'ZH', 'AH']",-2,CCV,"['M', 'OW', 'ZH']"
6721,"['NG', 'ZH', 'OY']",-2,CCV,"['M', 'ZH', 'OY']"
6722,"['NG', 'ZH', 'AA']",-2,CCV,"['DH', 'Y', 'OW']"
6723,"['NG', 'ZH', 'AY']",-2,CCV,"['TH', 'UH', 'S']"
6724,"['NG', 'ZH', 'ER']",-2,CCV,"['S', 'JH', 'ER']"
6725,"['NG', 'ZH', 'AO']",-2,CCV,"['M', 'B', 'OW']"
6726,"['NG', 'ZH', 'UW']",-2,CCV,"['L', 'UW', 'ZH']"
6727,"['NG', 'ZH', 'IH']",-2,CCV,"['M', 'IH', 'NG']"
6728,"['NG', 'ZH', 'EH']",-2,CCV,"['M', 'ZH', 'EH']"
6729,"['NG', 'ZH', 'UH']",-2,CCV,"['M', 'UH', 'D']"
6730,"['NG', 'ZH', 'IY']",-2,CCV,"['M', 'OW', 'NG']"
6731,"['NG', 'ZH', 'EY']",-2,CCV,"['M', 'OW', 'EY']"
6732,"['NG', 'ZH', 'OW']",-2,CCV,"['M', 'OW', 'ZH']"
6733,"['NG', 'ZH', 'AE']",-2,CCV,"['DH', 'Y', 'AE']"
6734,"['NG', 'ZH', 'AW']",-2,CCV,"['DH', 'OW', 'P']"
6735,"['NG', 'V', 'AH']",-2,CCV,"['NG', 'NG', '<EOS>']"
6736,"['NG', 'V', 'OY']",-2,CCV,"['NG', 'V', 'OY']"
6737,"['NG', 'V', 'AA']",-2,CCV,"['V', 'AA', 'NG']"
6738,"['NG', 'V', 'AY']",-2,CCV,"['V', 'AY', 'NG']"
6739,"['NG', 'V', 'ER']",-2,CCV,"['V', 'ER', 'NG']"
6740,"['NG', 'V', 'AO']",-2,CCV,"['V', 'AO', 'NG']"
6741,"['NG', 'V', 'UW']",-2,CCV,"['NG', 'NG', 'UW']"
6742,"['NG', 'V', 'IH']",-2,CCV,"['V', 'IH', 'NG']"
6743,"['NG', 'V', 'EH']",-2,CCV,"['NG', 'V', 'EH']"
6744,"['NG', 'V', 'UH']",-2,CCV,"['NG', 'UH', 'V']"
6745,"['NG', 'V', 'IY']",-2,CCV,"['V', 'IY', 'NG']"
6746,"['NG', 'V', 'EY']",-2,CCV,"['V', 'EY', 'NG']"
6747,"['NG', 'V', 'OW']",-2,CCV,"['NG', 'OW', 'V']"
6748,"['NG', 'V', 'AE']",-2,CCV,"['S', 'V', 'AE']"
6749,"['NG', 'V', 'AW']",-2,CCV,"['NG', 'V', '<EOS>']"
6750,"['NG', 'DH', 'AH']",-2,CCV,"['DH', 'AH', 'NG']"
6751,"['NG', 'DH', 'OY']",-2,CCV,"['DH', 'M', 'OW']"
6752,"['NG', 'DH', 'AA']",-2,CCV,"['DH', 'NG', 'AA']"
6753,"['NG', 'DH', 'AY']",-2,CCV,"['DH', 'AY', 'NG']"
6754,"['NG', 'DH', 'ER']",-2,CCV,"['DH', 'NG', 'ER']"
6755,"['NG', 'DH', 'AO']",-2,CCV,"['DH', 'AO', 'NG']"
6756,"['NG', 'DH', 'UW']",-2,CCV,"['DH', 'NG', 'UW']"
6757,"['NG', 'DH', 'IH']",-2,CCV,"['DH', 'IH', 'NG']"
6758,"['NG', 'DH', 'EH']",-2,CCV,"['DH', 'EH', 'NG']"
6759,"['NG', 'DH', 'UH']",-2,CCV,"['DH', 'UH', 'M']"
6760,"['NG', 'DH', 'IY']",-2,CCV,"['DH', 'IY', 'NG']"
6761,"['NG', 'DH', 'EY']",-2,CCV,"['DH', 'EY', 'NG']"
6762,"['NG', 'DH', 'OW']",-2,CCV,"['DH', 'OW', 'NG']"
6763,"['NG', 'DH', 'AE']",-2,CCV,"['DH', 'AE', 'NG']"
6764,"['NG', 'DH', 'AW']",-2,CCV,"['DH', 'NG', 'AW']"
6765,"['NG', 'HH', 'AH']",-2,CCV,"['CH', 'HH', '<EOS>']"
6766,"['NG', 'HH', 'OY']",-2,CCV,"['CH', 'OY', '<EOS>']"
6767,"['NG', 'HH', 'AA']",-2,CCV,"['HH', 'AA', 'NG']"
6768,"['NG', 'HH', 'AY']",-2,CCV,"['HH', 'AY', 'NG']"
6769,"['NG', 'HH', 'ER']",-2,CCV,"['HH', 'ER', '<EOS>']"
6770,"['NG', 'HH', 'AO']",-2,CCV,"['NG', 'HH', 'AO']"
6771,"['NG', 'HH', 'UW']",-2,CCV,"['NG', 'HH', 'UW']"
6772,"['NG', 'HH', 'IH']",-2,CCV,"['HH', 'IH', '<EOS>']"
6773,"['NG', 'HH', 'EH']",-2,CCV,"['HH', 'EH', '<EOS>']"
6774,"['NG', 'HH', 'UH']",-2,CCV,"['NG', 'UH', '<EOS>']"
6775,"['NG', 'HH', 'IY']",-2,CCV,"['HH', 'IY', 'NG']"
6776,"['NG', 'HH', 'EY']",-2,CCV,"['HH', 'EY', '<EOS>']"
6777,"['NG', 'HH', 'OW']",-2,CCV,"['NG', 'OW', 'HH']"
6778,"['NG', 'HH', 'AE']",-2,CCV,"['HH', 'AE', 'NG']"
6779,"['NG', 'HH', 'AW']",-2,CCV,"['HH', 'AW', '<EOS>']"
6780,"['NG', 'CH', 'AH']",-1,CCV,"['CH', 'NG', '<EOS>']"
6781,"['NG', 'CH', 'OY']",-1,CCV,"['CH', 'EH', 'IH']"
6782,"['NG', 'CH', 'AA']",-1,CCV,"['CH', 'AA', 'NG']"
6783,"['NG', 'CH', 'AY']",-1,CCV,"['CH', 'AY', 'NG']"
6784,"['NG', 'CH', 'ER']",-1,CCV,"['CH', 'ER', 'NG']"
6785,"['NG', 'CH', 'AO']",-1,CCV,"['CH', 'AO', 'NG']"
6786,"['NG', 'CH', 'UW']",-1,CCV,"['CH', 'NG', 'UW']"
6787,"['NG', 'CH', 'IH']",-1,CCV,"['CH', 'IH', 'NG']"
6788,"['NG', 'CH', 'EH']",-1,CCV,"['CH', 'EH', 'NG']"
6789,"['NG', 'CH', 'UH']",-1,CCV,"['CH', 'UH', 'UH']"
6790,"['NG', 'CH', 'IY']",-1,CCV,"['CH', 'NG', '<EOS>']"
6791,"['NG', 'CH', 'EY']",-1,CCV,"['CH', 'EY', 'NG']"
6792,"['NG', 'CH', 'OW']",-1,CCV,"['CH', 'OW', 'NG']"
6793,"['NG', 'CH', 'AE']",-1,CCV,"['CH', 'AE', 'NG']"
6794,"['NG', 'CH', 'AW']",-1,CCV,"['CH', 'AW', '<EOS>']"
6795,"['NG', 'JH', 'AH']",-1,CCV,"['CH', 'OW', '<EOS>']"
6796,"['NG', 'JH', 'OY']",-1,CCV,"['CH', 'OY', 'NG']"
6797,"['NG', 'JH', 'AA']",-1,CCV,"['NG', 'JH', 'AA']"
6798,"['NG', 'JH', 'AY']",-1,CCV,"['JH', 'AY', 'NG']"
6799,"['NG', 'JH', 'ER']",-1,CCV,"['NG', 'JH', 'ER']"
6800,"['NG', 'JH', 'AO']",-1,CCV,"['NG', 'JH', 'AO']"
6801,"['NG', 'JH', 'UW']",-1,CCV,"['NG', 'NG', 'UW']"
6802,"['NG', 'JH', 'IH']",-1,CCV,"['CH', 'OW', 'IH']"
6803,"['NG', 'JH', 'EH']",-1,CCV,"['NG', 'JH', 'EH']"
6804,"['NG', 'JH', 'UH']",-1,CCV,"['CH', 'UH', 'NG']"
6805,"['NG', 'JH', 'IY']",-1,CCV,"['JH', 'IY', 'NG']"
6806,"['NG', 'JH', 'EY']",-1,CCV,"['NG', 'JH', 'EY']"
6807,"['NG', 'JH', 'OW']",-1,CCV,"['JH', 'OW', 'NG']"
6808,"['NG', 'JH', 'AE']",-1,CCV,"['JH', 'AE', 'NG']"
6809,"['NG', 'JH', 'AW']",-1,CCV,"['JH', 'NG', 'AW']"
6810,"['NG', 'M', 'AH']",0,CCV,"['M', 'NG', '<EOS>']"
6811,"['NG', 'M', 'OY']",0,CCV,"['M', 'OY', 'NG']"
6812,"['NG', 'M', 'AA']",0,CCV,"['M', 'AA', 'NG']"
6813,"['NG', 'M', 'AY']",0,CCV,"['M', 'AY', 'NG']"
6814,"['NG', 'M', 'ER']",0,CCV,"['M', 'NG', 'ER']"
6815,"['NG', 'M', 'AO']",0,CCV,"['M', 'AO', 'NG']"
6816,"['NG', 'M', 'UW']",0,CCV,"['M', 'NG', 'UW']"
6817,"['NG', 'M', 'IH']",0,CCV,"['M', 'IH', 'NG']"
6818,"['NG', 'M', 'EH']",0,CCV,"['M', 'NG', '<EOS>']"
6819,"['NG', 'M', 'UH']",0,CCV,"['M', 'UH', 'NG']"
6820,"['NG', 'M', 'IY']",0,CCV,"['M', 'NG', '<EOS>']"
6821,"['NG', 'M', 'EY']",0,CCV,"['M', 'EY', 'NG']"
6822,"['NG', 'M', 'OW']",0,CCV,"['M', 'OW', 'NG']"
6823,"['NG', 'M', 'AE']",0,CCV,"['M', 'AE', 'NG']"
6824,"['NG', 'M', 'AW']",0,CCV,"['M', 'NG', 'AW']"
6825,"['NG', 'N', 'AH']",0,CCV,"['NG', 'NG', '<EOS>']"
6826,"['NG', 'N', 'OY']",0,CCV,"['N', 'NG', 'OY']"
6827,"['NG', 'N', 'AA']",0,CCV,"['TH', 'N', 'AA']"
6828,"['NG', 'N', 'AY']",0,CCV,"['TH', 'UH', 'N']"
6829,"['NG', 'N', 'ER']",0,CCV,"['NG', 'N', 'ER']"
6830,"['NG', 'N', 'AO']",0,CCV,"['S', 'AO', 'N']"
6831,"['NG', 'N', 'UW']",0,CCV,"['NG', 'UW', 'N']"
6832,"['NG', 'N', 'IH']",0,CCV,"['TH', 'N', 'IH']"
6833,"['NG', 'N', 'EH']",0,CCV,"['NG', 'N', 'EH']"
6834,"['NG', 'N', 'UH']",0,CCV,"['TH', 'UH', 'N']"
6835,"['NG', 'N', 'IY']",0,CCV,"['TH', 'IY', 'N']"
6836,"['NG', 'N', 'EY']",0,CCV,"['N', 'EY', 'NG']"
6837,"['NG', 'N', 'OW']",0,CCV,"['NG', 'OW', 'N']"
6838,"['NG', 'N', 'AE']",0,CCV,"['F', 'AE', 'NG']"
6839,"['NG', 'N', 'AW']",0,CCV,"['N', 'AW', 'NG']"
6840,"['NG', 'L', 'AH']",1,CCV,"['L', 'NG', '<EOS>']"
6841,"['NG', 'L', 'OY']",1,CCV,"['L', 'OY', 'NG']"
6842,"['NG', 'L', 'AA']",1,CCV,"['L', 'Y', 'AA']"
6843,"['NG', 'L', 'AY']",1,CCV,"['S', 'L', 'AY']"
6844,"['NG', 'L', 'ER']",1,CCV,"['L', 'NG', 'ER']"
6845,"['NG', 'L', 'AO']",1,CCV,"['L', 'AO', 'NG']"
6846,"['NG', 'L', 'UW']",1,CCV,"['L', 'NG', 'UW']"
6847,"['NG', 'L', 'IH']",1,CCV,"['S', 'L', 'IH']"
6848,"['NG', 'L', 'EH']",1,CCV,"['S', 'L', 'UH']"
6849,"['NG', 'L', 'UH']",1,CCV,"['S', 'UH', 'L']"
6850,"['NG', 'L', 'IY']",1,CCV,"['L', 'IY', 'NG']"
6851,"['NG', 'L', 'EY']",1,CCV,"['L', 'EY', 'NG']"
6852,"['NG', 'L', 'OW']",1,CCV,"['L', 'OW', 'NG']"
6853,"['NG', 'L', 'AE']",1,CCV,"['L', 'AE', 'NG']"
6854,"['NG', 'L', 'AW']",1,CCV,"['L', 'NG', 'AW']"
6855,"['NG', 'R', 'AH']",1,CCV,"['R', 'NG', '<EOS>']"
6856,"['NG', 'R', 'OY']",1,CCV,"['R', 'OY', 'NG']"
6857,"['NG', 'R', 'AA']",1,CCV,"['R', 'AA', 'NG']"
6858,"['NG', 'R', 'AY']",1,CCV,"['R', 'AY', 'NG']"
6859,"['NG', 'R', 'ER']",1,CCV,"['R', 'NG', 'ER']"
6860,"['NG', 'R', 'AO']",1,CCV,"['R', 'AO', 'NG']"
6861,"['NG', 'R', 'UW']",1,CCV,"['R', 'NG', 'UW']"
6862,"['NG', 'R', 'IH']",1,CCV,"['R', 'IH', 'NG']"
6863,"['NG', 'R', 'EH']",1,CCV,"['R', 'EH', 'NG']"
6864,"['NG', 'R', 'UH']",1,CCV,"['S', 'UH', 'UH']"
6865,"['NG', 'R', 'IY']",1,CCV,"['R', 'IY', 'NG']"
6866,"['NG', 'R', 'EY']",1,CCV,"['R', 'EY', 'NG']"
6867,"['NG', 'R', 'OW']",1,CCV,"['R', 'OW', 'NG']"
6868,"['NG', 'R', 'AE']",1,CCV,"['R', 'AE', 'NG']"
6869,"['NG', 'R', 'AW']",1,CCV,"['R', 'AW', 'NG']"
6870,"['NG', 'W', 'AH']",2,CCV,"['NG', 'NG', 'W']"
6871,"['NG', 'W', 'OY']",2,CCV,"['CH', 'W', 'OY']"
6872,"['NG', 'W', 'AA']",2,CCV,"['NG', 'W', 'AA']"
6873,"['NG', 'W', 'AY']",2,CCV,"['S', 'W', 'AY']"
6874,"['NG', 'W', 'ER']",2,CCV,"['NG', 'W', 'ER']"
6875,"['NG', 'W', 'AO']",2,CCV,"['S', 'W', 'AO']"
6876,"['NG', 'W', 'UW']",2,CCV,"['NG', 'NG', 'W']"
6877,"['NG', 'W', 'IH']",2,CCV,"['TH', 'W', 'IH']"
6878,"['NG', 'W', 'EH']",2,CCV,"['NG', 'W', 'EH']"
6879,"['NG', 'W', 'UH']",2,CCV,"['NG', 'UH', 'W']"
6880,"['NG', 'W', 'IY']",2,CCV,"['W', 'UH', 'NG']"
6881,"['NG', 'W', 'EY']",2,CCV,"['W', 'EY', 'NG']"
6882,"['NG', 'W', 'OW']",2,CCV,"['NG', 'OW', 'W']"
6883,"['NG', 'W', 'AE']",2,CCV,"['F', 'AE', 'NG']"
6884,"['NG', 'W', 'AW']",2,CCV,"['W', 'AW', 'N']"
6885,"['NG', 'Y', 'AH']",2,CCV,"['Y', 'NG', '<EOS>']"
6886,"['NG', 'Y', 'OY']",2,CCV,"['Y', 'UW', 'JH']"
6887,"['NG', 'Y', 'AA']",2,CCV,"['Y', 'Y', 'AA']"
6888,"['NG', 'Y', 'AY']",2,CCV,"['Y', 'AY', 'NG']"
6889,"['NG', 'Y', 'ER']",2,CCV,"['Y', 'ER', 'NG']"
6890,"['NG', 'Y', 'AO']",2,CCV,"['Y', 'AO', 'NG']"
6891,"['NG', 'Y', 'UW']",2,CCV,"['Y', 'UW', 'NG']"
6892,"['NG', 'Y', 'IH']",2,CCV,"['Y', 'IH', 'NG']"
6893,"['NG', 'Y', 'EH']",2,CCV,"['Y', 'EH', 'NG']"
6894,"['NG', 'Y', 'UH']",2,CCV,"['Y', 'UH', 'NG']"
6895,"['NG', 'Y', 'IY']",2,CCV,"['Y', 'IY', 'NG']"
6896,"['NG', 'Y', 'EY']",2,CCV,"['Y', 'EY', 'NG']"
6897,"['NG', 'Y', 'OW']",2,CCV,"['Y', 'OW', 'NG']"
6898,"['NG', 'Y', 'AE']",2,CCV,"['Y', 'AE', 'NG']"
6899,"['NG', 'Y', 'AW']",2,CCV,"['Y', 'AO', 'NG']"
6900,"['L', 'P', 'AH']",-4,CCV,"['L', 'P', 'AH']"
6901,"['L', 'P', 'OY']",-4,CCV,"['L', 'OY', 'P']"
6902,"['L', 'P', 'AA']",-4,CCV,"['L', 'P', 'AA']"
6903,"['L', 'P', 'AY']",-4,CCV,"['L', 'AY', 'P']"
6904,"['L', 'P', 'ER']",-4,CCV,"['L', 'ER', 'P']"
6905,"['L', 'P', 'AO']",-4,CCV,"['L', 'P', 'AO']"
6906,"['L', 'P', 'UW']",-4,CCV,"['L', 'UW', 'P']"
6907,"['L', 'P', 'IH']",-4,CCV,"['L', 'IH', 'P']"
6908,"['L', 'P', 'EH']",-4,CCV,"['L', 'EH', 'P']"
6909,"['L', 'P', 'UH']",-4,CCV,"['L', 'UH', 'P']"
6910,"['L', 'P', 'IY']",-4,CCV,"['L', 'IY', 'P']"
6911,"['L', 'P', 'EY']",-4,CCV,"['L', 'EY', 'P']"
6912,"['L', 'P', 'OW']",-4,CCV,"['L', 'OW', 'P']"
6913,"['L', 'P', 'AE']",-4,CCV,"['L', 'AE', 'P']"
6914,"['L', 'P', 'AW']",-4,CCV,"['L', 'AW', 'P']"
6915,"['L', 'T', 'AH']",-4,CCV,"['L', 'T', 'AH']"
6916,"['L', 'T', 'OY']",-4,CCV,"['L', 'OY', 'T']"
6917,"['L', 'T', 'AA']",-4,CCV,"['L', 'T', 'AA']"
6918,"['L', 'T', 'AY']",-4,CCV,"['L', 'T', 'AY']"
6919,"['L', 'T', 'ER']",-4,CCV,"['L', 'T', 'ER']"
6920,"['L', 'T', 'AO']",-4,CCV,"['L', 'T', 'AO']"
6921,"['L', 'T', 'UW']",-4,CCV,"['L', 'T', 'UW']"
6922,"['L', 'T', 'IH']",-4,CCV,"['L', 'T', 'IH']"
6923,"['L', 'T', 'EH']",-4,CCV,"['L', 'T', 'EH']"
6924,"['L', 'T', 'UH']",-4,CCV,"['L', 'UH', 'T']"
6925,"['L', 'T', 'IY']",-4,CCV,"['L', 'T', 'IY']"
6926,"['L', 'T', 'EY']",-4,CCV,"['L', 'T', 'EY']"
6927,"['L', 'T', 'OW']",-4,CCV,"['L', 'T', 'OW']"
6928,"['L', 'T', 'AE']",-4,CCV,"['L', 'AE', 'AE']"
6929,"['L', 'T', 'AW']",-4,CCV,"['L', 'T', 'AW']"
6930,"['L', 'K', 'AH']",-4,CCV,"['L', 'K', 'AH']"
