,Word,Frequency,Zipf_Frequency,Part_of_Speech,Phonemes,No_Stress
12498,condolences,3.8e-06,3.58,NOUN,"['K', 'AH0', 'N', 'D', 'OW1', 'L', 'AH0', 'N', 'S', 'AH0', 'Z']","['K', 'AH', 'N', 'D', 'OW', 'L', 'AH', 'N', 'S', 'AH', 'Z']"
12499,constituent,3.8e-06,3.58,NOUN,"['K', 'AH0', 'N', 'S', 'T', 'IH1', 'CH', 'UW0', 'AH0', 'N', 'T']","['K', 'AH', 'N', 'S', 'T', 'IH', 'CH', 'UW', 'AH', 'N', 'T']"
12500,constituted,3.8e-06,3.58,VERB,"['K', 'AA1', 'N', 'S', 'T', 'AH0', 'T', 'UW2', 'T', 'AH0', 'D']","['K', 'AA', 'N', 'S', 'T', 'AH', 'T', 'UW', 'T', 'AH', 'D']"
12501,contacting,3.8e-06,3.58,VERB,"['K', 'AA1', 'N', 'T', 'AE2', 'K', 'T', 'IH0', 'NG']","['K', 'AA', 'N', 'T', 'AE', 'K', 'T', 'IH', 'NG']"
12502,contagious,3.8e-06,3.58,ADJ,"['K', 'AH0', 'N', 'T', 'EY1', 'JH', 'AH0', 'S']","['K', 'AH', 'N', 'T', 'EY', 'JH', 'AH', 'S']"
12503,contexts,3.8e-06,3.58,NOUN,"['K', 'AA1', 'N', 'T', 'EH2', 'K', 'S', 'T', 'S']","['K', 'AA', 'N', 'T', 'EH', 'K', 'S', 'T', 'S']"
12504,conveniently,3.8e-06,3.58,ADV,"['K', 'AH0', 'N', 'V', 'IY1', 'N', 'Y', 'AH0', 'N', 'T', 'L', 'IY0']","['K', 'AH', 'N', 'V', 'IY', 'N', 'Y', 'AH', 'N', 'T', 'L', 'IY']"
12505,courtroom,3.8e-06,3.58,NOUN,"['K', 'AO1', 'R', 'T', 'R', 'UW2', 'M']","['K', 'AO', 'R', 'T', 'R', 'UW', 'M']"
12506,cushion,3.8e-06,3.58,NOUN,"['K', 'UH1', 'SH', 'AH0', 'N']","['K', 'UH', 'SH', 'AH', 'N']"
12507,cyclist,3.8e-06,3.58,NOUN,"['S', 'AY1', 'K', 'AH0', 'L', 'IH0', 'S', 'T']","['S', 'AY', 'K', 'AH', 'L', 'IH', 'S', 'T']"
12508,darkest,3.8e-06,3.58,ADJ,"['D', 'AA1', 'R', 'K', 'AH0', 'S', 'T']","['D', 'AA', 'R', 'K', 'AH', 'S', 'T']"
12509,diaz,3.8e-06,3.58,PROPN,"['D', 'IY1', 'AE2', 'Z']","['D', 'IY', 'AE', 'Z']"
12510,dictate,3.8e-06,3.58,VERB,"['D', 'IH0', 'K', 'T', 'EY1', 'T']","['D', 'IH', 'K', 'T', 'EY', 'T']"
12511,directs,3.8e-06,3.58,VERB,"['D', 'ER0', 'EH1', 'K', 'T', 'S']","['D', 'ER', 'EH', 'K', 'T', 'S']"
12512,discounted,3.8e-06,3.58,VERB,"['D', 'IH1', 'S', 'K', 'AW2', 'N', 'T', 'IH0', 'D']","['D', 'IH', 'S', 'K', 'AW', 'N', 'T', 'IH', 'D']"
12513,distributing,3.8e-06,3.58,VERB,"['D', 'IH0', 'S', 'T', 'R', 'IH1', 'B', 'Y', 'UW0', 'T', 'IH0', 'NG']","['D', 'IH', 'S', 'T', 'R', 'IH', 'B', 'Y', 'UW', 'T', 'IH', 'NG']"
12514,dominating,3.8e-06,3.58,VERB,"['D', 'AA1', 'M', 'AH0', 'N', 'EY2', 'T', 'IH0', 'NG']","['D', 'AA', 'M', 'AH', 'N', 'EY', 'T', 'IH', 'NG']"
12515,doris,3.8e-06,3.58,PROPN,"['D', 'AO1', 'R', 'AH0', 'S']","['D', 'AO', 'R', 'AH', 'S']"
12516,dorm,3.8e-06,3.58,NOUN,"['D', 'AO1', 'R', 'M']","['D', 'AO', 'R', 'M']"
12517,drafts,3.8e-06,3.58,NOUN,"['D', 'R', 'AE1', 'F', 'T', 'S']","['D', 'R', 'AE', 'F', 'T', 'S']"
12518,drip,3.8e-06,3.58,NOUN,"['D', 'R', 'IH1', 'P']","['D', 'R', 'IH', 'P']"
12519,duct,3.8e-06,3.58,NOUN,"['D', 'AH1', 'K', 'T']","['D', 'AH', 'K', 'T']"
12520,eccentric,3.8e-06,3.58,ADJ,"['IH0', 'K', 'S', 'EH1', 'N', 'T', 'R', 'IH0', 'K']","['IH', 'K', 'S', 'EH', 'N', 'T', 'R', 'IH', 'K']"
12521,educating,3.8e-06,3.58,VERB,"['EH1', 'JH', 'AH0', 'K', 'EY2', 'T', 'IH0', 'NG']","['EH', 'JH', 'AH', 'K', 'EY', 'T', 'IH', 'NG']"
12522,electro,3.8e-06,3.58,PROPN,"['IH0', 'L', 'EH1', 'K', 'T', 'R', 'OW0']","['IH', 'L', 'EH', 'K', 'T', 'R', 'OW']"
12523,electromagnetic,3.8e-06,3.58,ADJ,"['IH0', 'L', 'EH2', 'K', 'T', 'R', 'OW0', 'M', 'AE0', 'G', 'N', 'EH1', 'T', 'IH0', 'K']","['IH', 'L', 'EH', 'K', 'T', 'R', 'OW', 'M', 'AE', 'G', 'N', 'EH', 'T', 'IH', 'K']"
12524,emblem,3.8e-06,3.58,NOUN,"['EH1', 'M', 'B', 'L', 'AH0', 'M']","['EH', 'M', 'B', 'L', 'AH', 'M']"
12525,endured,3.8e-06,3.58,VERB,"['EH0', 'N', 'D', 'Y', 'UH1', 'R', 'D']","['EH', 'N', 'D', 'Y', 'UH', 'R', 'D']"
12526,expands,3.8e-06,3.58,VERB,"['IH0', 'K', 'S', 'P', 'AE1', 'N', 'D', 'Z']","['IH', 'K', 'S', 'P', 'AE', 'N', 'D', 'Z']"
12527,fabrics,3.8e-06,3.58,NOUN,"['F', 'AE1', 'B', 'R', 'IH0', 'K', 'S']","['F', 'AE', 'B', 'R', 'IH', 'K', 'S']"
12528,facto,3.8e-06,3.58,X,"['F', 'AE1', 'K', 'T', 'OW0']","['F', 'AE', 'K', 'T', 'OW']"
12529,falcons,3.8e-06,3.58,PROPN,"['F', 'AE1', 'L', 'K', 'AH0', 'N', 'Z']","['F', 'AE', 'L', 'K', 'AH', 'N', 'Z']"
12530,fascism,3.8e-06,3.58,NOUN,"['F', 'AE1', 'SH', 'IH2', 'Z', 'AH0', 'M']","['F', 'AE', 'SH', 'IH', 'Z', 'AH', 'M']"
12531,fats,3.8e-06,3.58,NOUN,"['F', 'AE1', 'T', 'S']","['F', 'AE', 'T', 'S']"
12532,fearful,3.8e-06,3.58,ADJ,"['F', 'IH1', 'R', 'F', 'AH0', 'L']","['F', 'IH', 'R', 'F', 'AH', 'L']"
12533,festive,3.8e-06,3.58,ADJ,"['F', 'EH1', 'S', 'T', 'IH0', 'V']","['F', 'EH', 'S', 'T', 'IH', 'V']"
12534,flyer,3.8e-06,3.58,PROPN,"['F', 'L', 'AY1', 'ER0']","['F', 'L', 'AY', 'ER']"
12535,forecasts,3.8e-06,3.58,NOUN,"['F', 'AO0', 'R', 'K', 'AE1', 'S', 'T', 'S']","['F', 'AO', 'R', 'K', 'AE', 'S', 'T', 'S']"
12536,foreman,3.8e-06,3.58,PROPN,"['F', 'AO1', 'R', 'M', 'AH0', 'N']","['F', 'AO', 'R', 'M', 'AH', 'N']"
12537,framing,3.8e-06,3.58,VERB,"['F', 'R', 'EY1', 'M', 'IH0', 'NG']","['F', 'R', 'EY', 'M', 'IH', 'NG']"
12538,gallagher,3.8e-06,3.58,PROPN,"['G', 'AE1', 'L', 'AH0', 'G', 'ER0']","['G', 'AE', 'L', 'AH', 'G', 'ER']"
12539,geared,3.8e-06,3.58,VERB,"['G', 'IH1', 'R', 'D']","['G', 'IH', 'R', 'D']"
12540,geoff,3.8e-06,3.58,PROPN,"['JH', 'EH1', 'F']","['JH', 'EH', 'F']"
12541,giles,3.8e-06,3.58,PROPN,"['JH', 'AY1', 'L', 'Z']","['JH', 'AY', 'L', 'Z']"
12542,gina,3.8e-06,3.58,PROPN,"['JH', 'IY1', 'N', 'AH0']","['JH', 'IY', 'N', 'AH']"
12543,glacier,3.8e-06,3.58,NOUN,"['G', 'L', 'EY1', 'SH', 'ER0']","['G', 'L', 'EY', 'SH', 'ER']"
12544,gomez,3.8e-06,3.58,PROPN,"['G', 'OW1', 'M', 'EH0', 'Z']","['G', 'OW', 'M', 'EH', 'Z']"
12545,hindus,3.8e-06,3.58,PROPN,"['HH', 'IH1', 'N', 'D', 'UW2', 'Z']","['HH', 'IH', 'N', 'D', 'UW', 'Z']"
12546,hu,3.8e-06,3.58,PROPN,"['HH', 'UW1']","['HH', 'UW']"
12547,hunted,3.8e-06,3.58,VERB,"['HH', 'AH1', 'N', 'T', 'AH0', 'D']","['HH', 'AH', 'N', 'T', 'AH', 'D']"
12548,hurricanes,3.8e-06,3.58,NOUN,"['HH', 'ER1', 'AH0', 'K', 'EY2', 'N', 'Z']","['HH', 'ER', 'AH', 'K', 'EY', 'N', 'Z']"
12549,implying,3.8e-06,3.58,VERB,"['IH0', 'M', 'P', 'L', 'AY1', 'IH0', 'NG']","['IH', 'M', 'P', 'L', 'AY', 'IH', 'NG']"
12550,improper,3.8e-06,3.58,ADJ,"['IH0', 'M', 'P', 'R', 'AA1', 'P', 'ER0']","['IH', 'M', 'P', 'R', 'AA', 'P', 'ER']"
12551,influx,3.8e-06,3.58,VERB,"['IH1', 'N', 'F', 'L', 'AH2', 'K', 'S']","['IH', 'N', 'F', 'L', 'AH', 'K', 'S']"
12552,informing,3.8e-06,3.58,VERB,"['IH0', 'N', 'F', 'AO1', 'R', 'M', 'IH0', 'NG']","['IH', 'N', 'F', 'AO', 'R', 'M', 'IH', 'NG']"
12553,installment,3.8e-06,3.58,NOUN,"['IH0', 'N', 'S', 'T', 'AO1', 'L', 'M', 'AH0', 'N', 'T']","['IH', 'N', 'S', 'T', 'AO', 'L', 'M', 'AH', 'N', 'T']"
12554,isles,3.8e-06,3.58,NOUN,"['AY1', 'L', 'Z']","['AY', 'L', 'Z']"
12555,jen,3.8e-06,3.58,PROPN,"['JH', 'EH1', 'N']","['JH', 'EH', 'N']"
12556,judaism,3.8e-06,3.58,PROPN,"['JH', 'UW1', 'D', 'EY0', 'IH2', 'Z', 'AH0', 'M']","['JH', 'UW', 'D', 'EY', 'IH', 'Z', 'AH', 'M']"
12557,keller,3.8e-06,3.58,PROPN,"['K', 'EH1', 'L', 'ER0']","['K', 'EH', 'L', 'ER']"
12558,kernel,3.8e-06,3.58,NOUN,"['K', 'ER1', 'N', 'AH0', 'L']","['K', 'ER', 'N', 'AH', 'L']"
12559,kung,3.8e-06,3.58,PROPN,"['K', 'AH1', 'NG']","['K', 'AH', 'NG']"
12560,larvae,3.8e-06,3.58,VERB,"['L', 'AA1', 'R', 'V', 'IY0']","['L', 'AA', 'R', 'V', 'IY']"
12561,lexington,3.8e-06,3.58,PROPN,"['L', 'EH1', 'K', 'S', 'IH0', 'NG', 'T', 'AH0', 'N']","['L', 'EH', 'K', 'S', 'IH', 'NG', 'T', 'AH', 'N']"
12562,liaison,3.8e-06,3.58,NOUN,"['L', 'IY0', 'EY1', 'Z', 'AA2', 'N']","['L', 'IY', 'EY', 'Z', 'AA', 'N']"
12563,lima,3.8e-06,3.58,PROPN,"['L', 'AY1', 'M', 'AH0']","['L', 'AY', 'M', 'AH']"
12564,memoirs,3.8e-06,3.58,NOUN,"['M', 'EH1', 'M', 'W', 'AA2', 'R', 'Z']","['M', 'EH', 'M', 'W', 'AA', 'R', 'Z']"
12565,miner,3.8e-06,3.58,NOUN,"['M', 'AY1', 'N', 'ER0']","['M', 'AY', 'N', 'ER']"
12566,mosaic,3.8e-06,3.58,ADJ,"['M', 'OW0', 'Z', 'EY1', 'IH0', 'K']","['M', 'OW', 'Z', 'EY', 'IH', 'K']"
12567,mustang,3.8e-06,3.58,PROPN,"['M', 'AH1', 'S', 'T', 'AE2', 'NG']","['M', 'AH', 'S', 'T', 'AE', 'NG']"
12568,needy,3.8e-06,3.58,ADJ,"['N', 'IY1', 'D', 'IY0']","['N', 'IY', 'D', 'IY']"
12569,nichols,3.8e-06,3.58,PROPN,"['N', 'IH1', 'K', 'AH0', 'L', 'Z']","['N', 'IH', 'K', 'AH', 'L', 'Z']"
12570,offenses,3.8e-06,3.58,NOUN,"['AH0', 'F', 'EH1', 'N', 'S', 'IH0', 'Z']","['AH', 'F', 'EH', 'N', 'S', 'IH', 'Z']"
12571,optics,3.8e-06,3.58,NOUN,"['AA1', 'P', 'T', 'IH0', 'K', 'S']","['AA', 'P', 'T', 'IH', 'K', 'S']"
12572,orphan,3.8e-06,3.58,NOUN,"['AO1', 'R', 'F', 'AH0', 'N']","['AO', 'R', 'F', 'AH', 'N']"
12573,passions,3.8e-06,3.58,NOUN,"['P', 'AE1', 'SH', 'AH0', 'N', 'Z']","['P', 'AE', 'SH', 'AH', 'N', 'Z']"
12574,patty,3.8e-06,3.58,PROPN,"['P', 'AE1', 'T', 'IY0']","['P', 'AE', 'T', 'IY']"
12575,peyton,3.8e-06,3.58,PROPN,"['P', 'EY1', 'T', 'AH0', 'N']","['P', 'EY', 'T', 'AH', 'N']"
12576,pies,3.8e-06,3.58,NOUN,"['P', 'AY1', 'Z']","['P', 'AY', 'Z']"
12577,pineapple,3.8e-06,3.58,NOUN,"['P', 'AY1', 'N', 'AE2', 'P', 'AH0', 'L']","['P', 'AY', 'N', 'AE', 'P', 'AH', 'L']"
12578,plaintiffs,3.8e-06,3.58,NOUN,"['P', 'L', 'EY1', 'N', 'T', 'IH0', 'F', 'S']","['P', 'L', 'EY', 'N', 'T', 'IH', 'F', 'S']"
12579,plastics,3.8e-06,3.58,NOUN,"['P', 'L', 'AE1', 'S', 'T', 'IH0', 'K', 'S']","['P', 'L', 'AE', 'S', 'T', 'IH', 'K', 'S']"
12580,poisoned,3.8e-06,3.58,VERB,"['P', 'OY1', 'Z', 'AH0', 'N', 'D']","['P', 'OY', 'Z', 'AH', 'N', 'D']"
12581,potassium,3.8e-06,3.58,NOUN,"['P', 'AH0', 'T', 'AE1', 'S', 'IY0', 'AH0', 'M']","['P', 'AH', 'T', 'AE', 'S', 'IY', 'AH', 'M']"
12582,priceless,3.8e-06,3.58,ADJ,"['P', 'R', 'AY1', 'S', 'L', 'AH0', 'S']","['P', 'R', 'AY', 'S', 'L', 'AH', 'S']"
12583,projecting,3.8e-06,3.58,VERB,"['P', 'R', 'AH0', 'JH', 'EH1', 'K', 'T', 'IH0', 'NG']","['P', 'R', 'AH', 'JH', 'EH', 'K', 'T', 'IH', 'NG']"
12584,prostitute,3.8e-06,3.58,NOUN,"['P', 'R', 'AA1', 'S', 'T', 'AH0', 'T', 'UW2', 'T']","['P', 'R', 'AA', 'S', 'T', 'AH', 'T', 'UW', 'T']"
12585,reflective,3.8e-06,3.58,ADJ,"['R', 'IH0', 'F', 'L', 'EH1', 'K', 'T', 'IH0', 'V']","['R', 'IH', 'F', 'L', 'EH', 'K', 'T', 'IH', 'V']"
12586,rents,3.8e-06,3.58,NOUN,"['R', 'EH1', 'N', 'T', 'S']","['R', 'EH', 'N', 'T', 'S']"
12587,residing,3.8e-06,3.58,VERB,"['R', 'IH0', 'Z', 'AY1', 'D', 'IH0', 'NG']","['R', 'IH', 'Z', 'AY', 'D', 'IH', 'NG']"
12588,resilience,3.8e-06,3.58,NOUN,"['R', 'IH0', 'Z', 'IH1', 'L', 'IY0', 'AH0', 'N', 'S']","['R', 'IH', 'Z', 'IH', 'L', 'IY', 'AH', 'N', 'S']"
12589,resisting,3.8e-06,3.58,VERB,"['R', 'IH0', 'Z', 'IH1', 'S', 'T', 'IH0', 'NG']","['R', 'IH', 'Z', 'IH', 'S', 'T', 'IH', 'NG']"
12590,romanian,3.8e-06,3.58,ADJ,"['R', 'OW0', 'M', 'EY1', 'N', 'IY0', 'AH0', 'N']","['R', 'OW', 'M', 'EY', 'N', 'IY', 'AH', 'N']"
12591,roofs,3.8e-06,3.58,NOUN,"['R', 'UW1', 'F', 'S']","['R', 'UW', 'F', 'S']"
12592,rotate,3.8e-06,3.58,VERB,"['R', 'OW1', 'T', 'EY2', 'T']","['R', 'OW', 'T', 'EY', 'T']"
12593,royce,3.8e-06,3.58,PROPN,"['R', 'OY1', 'S']","['R', 'OY', 'S']"
12594,sans,3.8e-06,3.58,NOUN,"['S', 'AE1', 'N', 'Z']","['S', 'AE', 'N', 'Z']"
12595,saxon,3.8e-06,3.58,PROPN,"['S', 'AE1', 'K', 'S', 'AH0', 'N']","['S', 'AE', 'K', 'S', 'AH', 'N']"
12596,scissors,3.8e-06,3.58,NOUN,"['S', 'IH1', 'Z', 'ER0', 'Z']","['S', 'IH', 'Z', 'ER', 'Z']"
12597,seaside,3.8e-06,3.58,NOUN,"['S', 'IY1', 'S', 'AY2', 'D']","['S', 'IY', 'S', 'AY', 'D']"
12598,semitic,3.8e-06,3.58,ADJ,"['S', 'AH0', 'M', 'IH1', 'T', 'IH0', 'K']","['S', 'AH', 'M', 'IH', 'T', 'IH', 'K']"
12599,shampoo,3.8e-06,3.58,NOUN,"['SH', 'AE0', 'M', 'P', 'UW1']","['SH', 'AE', 'M', 'P', 'UW']"
12600,shaun,3.8e-06,3.58,PROPN,"['SH', 'AO1', 'N']","['SH', 'AO', 'N']"
12601,shri,3.8e-06,3.58,PROPN,"['SH', 'R', 'IY1']","['SH', 'R', 'IY']"
12602,silently,3.8e-06,3.58,ADV,"['S', 'AY1', 'L', 'AH0', 'N', 'T', 'L', 'IY0']","['S', 'AY', 'L', 'AH', 'N', 'T', 'L', 'IY']"
12603,similarity,3.8e-06,3.58,NOUN,"['S', 'IH2', 'M', 'AH0', 'L', 'EH1', 'R', 'AH0', 'T', 'IY0']","['S', 'IH', 'M', 'AH', 'L', 'EH', 'R', 'AH', 'T', 'IY']"
12604,smelling,3.8e-06,3.58,VERB,"['S', 'M', 'EH1', 'L', 'IH0', 'NG']","['S', 'M', 'EH', 'L', 'IH', 'NG']"
12605,socio,3.8e-06,3.58,PROPN,"['S', 'OW1', 'S', 'IY0', 'OW0']","['S', 'OW', 'S', 'IY', 'OW']"
12606,stabbing,3.8e-06,3.58,VERB,"['S', 'T', 'AE1', 'B', 'IH0', 'NG']","['S', 'T', 'AE', 'B', 'IH', 'NG']"
12607,staircase,3.8e-06,3.58,NOUN,"['S', 'T', 'EH1', 'R', 'K', 'EY2', 'S']","['S', 'T', 'EH', 'R', 'K', 'EY', 'S']"
12608,stamped,3.8e-06,3.58,VERB,"['S', 'T', 'AE1', 'M', 'P', 'T']","['S', 'T', 'AE', 'M', 'P', 'T']"
12609,steroids,3.8e-06,3.58,NOUN,"['S', 'T', 'EH1', 'R', 'OY0', 'D', 'Z']","['S', 'T', 'EH', 'R', 'OY', 'D', 'Z']"
12610,stitches,3.8e-06,3.58,NOUN,"['S', 'T', 'IH1', 'CH', 'IH0', 'Z']","['S', 'T', 'IH', 'CH', 'IH', 'Z']"
12611,subsidiaries,3.8e-06,3.58,NOUN,"['S', 'AH0', 'B', 'S', 'IH1', 'D', 'IY0', 'EH2', 'R', 'IY0', 'Z']","['S', 'AH', 'B', 'S', 'IH', 'D', 'IY', 'EH', 'R', 'IY', 'Z']"
12612,swipe,3.8e-06,3.58,VERB,"['S', 'W', 'AY1', 'P']","['S', 'W', 'AY', 'P']"
12613,tang,3.8e-06,3.58,PROPN,"['T', 'AE1', 'NG']","['T', 'AE', 'NG']"
12614,tango,3.8e-06,3.58,PROPN,"['T', 'AE1', 'NG', 'G', 'OW0']","['T', 'AE', 'NG', 'G', 'OW']"
12615,telecom,3.8e-06,3.58,PROPN,"['T', 'EH1', 'L', 'AH0', 'K', 'AA0', 'M']","['T', 'EH', 'L', 'AH', 'K', 'AA', 'M']"
12616,tighter,3.8e-06,3.58,ADJ,"['T', 'AY1', 'T', 'ER0']","['T', 'AY', 'T', 'ER']"
12617,tolerant,3.8e-06,3.58,ADJ,"['T', 'AA1', 'L', 'ER0', 'AH0', 'N', 'T']","['T', 'AA', 'L', 'ER', 'AH', 'N', 'T']"
12618,touchdowns,3.8e-06,3.58,NOUN,"['T', 'AH1', 'CH', 'D', 'AW2', 'N', 'Z']","['T', 'AH', 'CH', 'D', 'AW', 'N', 'Z']"
12619,toxicity,3.8e-06,3.58,NOUN,"['T', 'AA0', 'K', 'S', 'IH1', 'S', 'AH0', 'T', 'IY0']","['T', 'AA', 'K', 'S', 'IH', 'S', 'AH', 'T', 'IY']"
12620,trumpet,3.8e-06,3.58,NOUN,"['T', 'R', 'AH1', 'M', 'P', 'AH0', 'T']","['T', 'R', 'AH', 'M', 'P', 'AH', 'T']"
12621,tuberculosis,3.8e-06,3.58,NOUN,"['T', 'AH0', 'B', 'ER2', 'K', 'Y', 'AH0', 'L', 'OW1', 'S', 'IH0', 'S']","['T', 'AH', 'B', 'ER', 'K', 'Y', 'AH', 'L', 'OW', 'S', 'IH', 'S']"
12622,undergone,3.8e-06,3.58,VERB,"['AH2', 'N', 'D', 'ER0', 'G', 'AO1', 'N']","['AH', 'N', 'D', 'ER', 'G', 'AO', 'N']"
12623,willingly,3.8e-06,3.58,ADV,"['W', 'IH1', 'L', 'IH0', 'NG', 'L', 'IY0']","['W', 'IH', 'L', 'IH', 'NG', 'L', 'IY']"
12624,wrapping,3.8e-06,3.58,VERB,"['R', 'AE1', 'P', 'IH0', 'NG']","['R', 'AE', 'P', 'IH', 'NG']"
12625,youthful,3.8e-06,3.58,ADJ,"['Y', 'UW1', 'TH', 'F', 'AH0', 'L']","['Y', 'UW', 'TH', 'F', 'AH', 'L']"
12626,accents,3.72e-06,3.57,NOUN,"['AE1', 'K', 'S', 'EH0', 'N', 'T', 'S']","['AE', 'K', 'S', 'EH', 'N', 'T', 'S']"
12627,adhere,3.72e-06,3.57,VERB,"['AH0', 'D', 'HH', 'IH1', 'R']","['AH', 'D', 'HH', 'IH', 'R']"
12628,adidas,3.72e-06,3.57,PROPN,"['AH0', 'D', 'IY1', 'D', 'AH0', 'S']","['AH', 'D', 'IY', 'D', 'AH', 'S']"
12629,advising,3.72e-06,3.57,VERB,"['AE0', 'D', 'V', 'AY1', 'Z', 'IH0', 'NG']","['AE', 'D', 'V', 'AY', 'Z', 'IH', 'NG']"
12630,affirmative,3.72e-06,3.57,ADJ,"['AH0', 'F', 'ER1', 'M', 'AH0', 'T', 'IH0', 'V']","['AH', 'F', 'ER', 'M', 'AH', 'T', 'IH', 'V']"
12631,agnes,3.72e-06,3.57,PROPN,"['AE1', 'G', 'N', 'IH0', 'S']","['AE', 'G', 'N', 'IH', 'S']"
12632,alarms,3.72e-06,3.57,NOUN,"['AH0', 'L', 'AA1', 'R', 'M', 'Z']","['AH', 'L', 'AA', 'R', 'M', 'Z']"
12633,alliances,3.72e-06,3.57,NOUN,"['AH0', 'L', 'AY1', 'AH0', 'N', 'S', 'AH0', 'Z']","['AH', 'L', 'AY', 'AH', 'N', 'S', 'AH', 'Z']"
12634,alma,3.72e-06,3.57,NOUN,"['AE1', 'L', 'M', 'AH0']","['AE', 'L', 'M', 'AH']"
12635,ambiguous,3.72e-06,3.57,ADJ,"['AE0', 'M', 'B', 'IH1', 'G', 'Y', 'UW0', 'AH0', 'S']","['AE', 'M', 'B', 'IH', 'G', 'Y', 'UW', 'AH', 'S']"
12636,archaeology,3.72e-06,3.57,NOUN,"['AA2', 'R', 'K', 'IY0', 'AA1', 'L', 'AH0', 'JH', 'IY0']","['AA', 'R', 'K', 'IY', 'AA', 'L', 'AH', 'JH', 'IY']"
12637,attained,3.72e-06,3.57,VERB,"['AH0', 'T', 'EY1', 'N', 'D']","['AH', 'T', 'EY', 'N', 'D']"
12638,autopsy,3.72e-06,3.57,ADJ,"['AO1', 'T', 'AA2', 'P', 'S', 'IY0']","['AO', 'T', 'AA', 'P', 'S', 'IY']"
12639,baltic,3.72e-06,3.57,PROPN,"['B', 'AO1', 'L', 'T', 'IH0', 'K']","['B', 'AO', 'L', 'T', 'IH', 'K']"
12640,berries,3.72e-06,3.57,NOUN,"['B', 'EH1', 'R', 'IY0', 'Z']","['B', 'EH', 'R', 'IY', 'Z']"
12641,blitz,3.72e-06,3.57,PROPN,"['B', 'L', 'IH1', 'T', 'S']","['B', 'L', 'IH', 'T', 'S']"
12642,blockade,3.72e-06,3.57,VERB,"['B', 'L', 'AA2', 'K', 'EY1', 'D']","['B', 'L', 'AA', 'K', 'EY', 'D']"
12643,bosnia,3.72e-06,3.57,PROPN,"['B', 'AA1', 'Z', 'N', 'IY0', 'AH0']","['B', 'AA', 'Z', 'N', 'IY', 'AH']"
12644,brightness,3.72e-06,3.57,VERB,"['B', 'R', 'AY1', 'T', 'N', 'AH0', 'S']","['B', 'R', 'AY', 'T', 'N', 'AH', 'S']"
12645,bruins,3.72e-06,3.57,NOUN,"['B', 'R', 'UW1', 'IH0', 'N', 'Z']","['B', 'R', 'UW', 'IH', 'N', 'Z']"
12646,brushed,3.72e-06,3.57,VERB,"['B', 'R', 'AH1', 'SH', 'T']","['B', 'R', 'AH', 'SH', 'T']"
12647,burma,3.72e-06,3.57,PROPN,"['B', 'ER1', 'M', 'AH0']","['B', 'ER', 'M', 'AH']"
12648,calculating,3.72e-06,3.57,VERB,"['K', 'AE1', 'L', 'K', 'Y', 'AH0', 'L', 'EY2', 'T', 'IH0', 'NG']","['K', 'AE', 'L', 'K', 'Y', 'AH', 'L', 'EY', 'T', 'IH', 'NG']"
12649,campuses,3.72e-06,3.57,NOUN,"['K', 'AE1', 'M', 'P', 'AH0', 'S', 'AH0', 'Z']","['K', 'AE', 'M', 'P', 'AH', 'S', 'AH', 'Z']"
12650,cartridge,3.72e-06,3.57,NOUN,"['K', 'AA1', 'R', 'T', 'R', 'AH0', 'JH']","['K', 'AA', 'R', 'T', 'R', 'AH', 'JH']"
12651,cashier,3.72e-06,3.57,NOUN,"['K', 'AE0', 'SH', 'IH1', 'R']","['K', 'AE', 'SH', 'IH', 'R']"
12652,cigar,3.72e-06,3.57,NOUN,"['S', 'IH0', 'G', 'AA1', 'R']","['S', 'IH', 'G', 'AA', 'R']"
12653,circa,3.72e-06,3.57,VERB,"['S', 'ER1', 'K', 'AH0']","['S', 'ER', 'K', 'AH']"
12654,citations,3.72e-06,3.57,NOUN,"['S', 'AY0', 'T', 'EY1', 'SH', 'AH0', 'N', 'Z']","['S', 'AY', 'T', 'EY', 'SH', 'AH', 'N', 'Z']"
12655,claudia,3.72e-06,3.57,PROPN,"['K', 'L', 'AO1', 'D', 'IY0', 'AH0']","['K', 'L', 'AO', 'D', 'IY', 'AH']"
12656,cloak,3.72e-06,3.57,VERB,"['K', 'L', 'OW1', 'K']","['K', 'L', 'OW', 'K']"
12657,cologne,3.72e-06,3.57,NOUN,"['K', 'AH0', 'L', 'OW1', 'N']","['K', 'AH', 'L', 'OW', 'N']"
12658,colombian,3.72e-06,3.57,ADJ,"['K', 'AH0', 'L', 'AH1', 'M', 'B', 'IY0', 'AH0', 'N']","['K', 'AH', 'L', 'AH', 'M', 'B', 'IY', 'AH', 'N']"
12659,colt,3.72e-06,3.57,NOUN,"['K', 'OW1', 'L', 'T']","['K', 'OW', 'L', 'T']"
12660,combustion,3.72e-06,3.57,NOUN,"['K', 'AH0', 'M', 'B', 'AH1', 'S', 'CH', 'AH0', 'N']","['K', 'AH', 'M', 'B', 'AH', 'S', 'CH', 'AH', 'N']"
12661,comprehension,3.72e-06,3.57,NOUN,"['K', 'AA2', 'M', 'P', 'R', 'IY0', 'HH', 'EH1', 'N', 'SH', 'AH0', 'N']","['K', 'AA', 'M', 'P', 'R', 'IY', 'HH', 'EH', 'N', 'SH', 'AH', 'N']"
12662,concession,3.72e-06,3.57,NOUN,"['K', 'AH0', 'N', 'S', 'EH1', 'SH', 'AH0', 'N']","['K', 'AH', 'N', 'S', 'EH', 'SH', 'AH', 'N']"
