<<<<<<< Updated upstream:stimuli/handmade/real_equalized.csv
,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech
142,goldberg,RLCL,real,long,complex,3.16e-06,7,3.5,"['G', 'OW1', 'L', 'D', 'B', 'ER0', 'G']","['G', 'OW', 'L', 'D', 'B', 'ER', 'G']",PROPN
143,hologram,RLCL,real,long,complex,1.29e-06,8,3.11,"['HH', 'AA1', 'L', 'AH0', 'G', 'R', 'AE2', 'M']","['HH', 'AA', 'L', 'AH', 'G', 'R', 'AE', 'M']",PROPN
144,thoroughbred,RLCL,real,long,complex,9.55e-07,7,2.98,"['TH', 'ER1', 'OW0', 'B', 'R', 'EH1', 'D']","['TH', 'ER', 'OW', 'B', 'R', 'EH', 'D']",ADJ
145,bartender,RLCL,real,long,complex,3.16e-06,8,3.5,"['B', 'AA1', 'R', 'T', 'EH2', 'N', 'D', 'ER0']","['B', 'AA', 'R', 'T', 'EH', 'N', 'D', 'ER']",NOUN
146,deodorant,RLCL,real,long,complex,1.32e-06,8,3.12,"['D', 'IY0', 'OW1', 'D', 'ER0', 'AH0', 'N', 'T']","['D', 'IY', 'OW', 'D', 'ER', 'AH', 'N', 'T']",NOUN
147,readership,RLCL,real,long,complex,1.32e-06,7,3.12,"['R', 'IY1', 'D', 'ER0', 'SH', 'IH2', 'P']","['R', 'IY', 'D', 'ER', 'SH', 'IH', 'P']",NOUN
148,barbarian,RLCL,real,long,complex,1.91e-06,9,3.28,"['B', 'AA0', 'R', 'B', 'EH1', 'R', 'IY0', 'AH0', 'N']","['B', 'AA', 'R', 'B', 'EH', 'R', 'IY', 'AH', 'N']",ADJ
149,adversary,RLCL,real,long,complex,1.95e-06,8,3.29,"['AE1', 'D', 'V', 'ER0', 'S', 'EH2', 'R', 'IY0']","['AE', 'D', 'V', 'ER', 'S', 'EH', 'R', 'IY']",NOUN
150,alternating,RLCL,real,long,complex,3.16e-06,9,3.5,"['AO1', 'L', 'T', 'ER0', 'N', 'EY2', 'T', 'IH0', 'NG']","['AO', 'L', 'T', 'ER', 'N', 'EY', 'T', 'IH', 'NG']",VERB
151,duplex,RLCL,real,long,complex,1.35e-06,7,3.13,"['D', 'UW1', 'P', 'L', 'EH2', 'K', 'S']","['D', 'UW', 'P', 'L', 'EH', 'K', 'S']",NOUN
152,crocodile,RLCL,real,long,complex,3.09e-06,8,3.49,"['K', 'R', 'AA1', 'K', 'AH0', 'D', 'AY2', 'L']","['K', 'R', 'AA', 'K', 'AH', 'D', 'AY', 'L']",NOUN
153,unisex,RLCL,real,long,complex,1e-06,8,3.0,"['Y', 'UW1', 'N', 'IH0', 'S', 'EH2', 'K', 'S']","['Y', 'UW', 'N', 'IH', 'S', 'EH', 'K', 'S']",NOUN
154,westside,RLCL,real,long,complex,1e-06,7,3.0,"['W', 'EH1', 'S', 'T', 'S', 'AY1', 'D']","['W', 'EH', 'S', 'T', 'S', 'AY', 'D']",NOUN
155,homophobic,RLCL,real,long,complex,3.16e-06,9,3.5,"['HH', 'OW2', 'M', 'AH0', 'F', 'OW1', 'B', 'IH0', 'K']","['HH', 'OW', 'M', 'AH', 'F', 'OW', 'B', 'IH', 'K']",ADJ
156,platelet,RLCL,real,long,complex,7.94e-07,7,2.9,"['P', 'L', 'EY1', 'T', 'L', 'AH0', 'T']","['P', 'L', 'EY', 'T', 'L', 'AH', 'T']",PROPN
157,untimely,RLCL,real,long,complex,1.32e-06,7,3.12,"['AH0', 'N', 'T', 'AY1', 'M', 'L', 'IY0']","['AH', 'N', 'T', 'AY', 'M', 'L', 'IY']",ADJ
158,juggernaut,RLCL,real,long,complex,9.77e-07,7,2.99,"['JH', 'AH1', 'G', 'ER0', 'N', 'AO2', 'T']","['JH', 'AH', 'G', 'ER', 'N', 'AO', 'T']",NOUN
159,subculture,RLCL,real,long,complex,9.55e-07,8,2.98,"['S', 'AH1', 'B', 'K', 'AH2', 'L', 'CH', 'ER0']","['S', 'AH', 'B', 'K', 'AH', 'L', 'CH', 'ER']",NOUN
160,unharmed,RLCL,real,long,complex,1.32e-06,7,3.12,"['AH0', 'N', 'HH', 'AA1', 'R', 'M', 'D']","['AH', 'N', 'HH', 'AA', 'R', 'M', 'D']",ADJ
161,hypothermia,RLCL,real,long,complex,9.55e-07,9,2.98,"['HH', 'AY2', 'P', 'AH0', 'TH', 'ER1', 'M', 'IY0', 'AH0']","['HH', 'AY', 'P', 'AH', 'TH', 'ER', 'M', 'IY', 'AH']",VERB
162,liberia,RLCL,real,long,complex,3.16e-06,7,3.5,"['L', 'AY0', 'B', 'IH1', 'R', 'IY0', 'AH0']","['L', 'AY', 'B', 'IH', 'R', 'IY', 'AH']",PROPN
163,coventry,RLCL,real,long,complex,3.09e-06,8,3.49,"['K', 'AH1', 'V', 'AH0', 'N', 'T', 'R', 'IY0']","['K', 'AH', 'V', 'AH', 'N', 'T', 'R', 'IY']",PROPN
164,confluence,RLCL,real,long,complex,1.32e-06,9,3.12,"['K', 'AA1', 'N', 'F', 'L', 'UW0', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'L', 'UW', 'AH', 'N', 'S']",NOUN
165,merciful,RLCL,real,long,complex,1.86e-06,7,3.27,"['M', 'ER1', 'S', 'IH0', 'F', 'AH0', 'L']","['M', 'ER', 'S', 'IH', 'F', 'AH', 'L']",ADJ
166,habitats,RLCL,real,long,complex,3.09e-06,8,3.49,"['HH', 'AE1', 'B', 'AH0', 'T', 'AE2', 'T', 'S']","['HH', 'AE', 'B', 'AH', 'T', 'AE', 'T', 'S']",NOUN
167,hinduism,RLCL,real,long,complex,1.86e-06,9,3.27,"['HH', 'IH1', 'N', 'JH', 'UW0', 'IH2', 'Z', 'AH0', 'M']","['HH', 'IH', 'N', 'JH', 'UW', 'IH', 'Z', 'AH', 'M']",NOUN
168,defunct,RLCL,real,long,complex,1.91e-06,7,3.28,"['D', 'IH0', 'F', 'AH1', 'NG', 'K', 'T']","['D', 'IH', 'F', 'AH', 'NG', 'K', 'T']",ADJ
169,scapegoat,RLCL,real,long,complex,1.29e-06,7,3.11,"['S', 'K', 'EY1', 'P', 'G', 'OW2', 'T']","['S', 'K', 'EY', 'P', 'G', 'OW', 'T']",NOUN
170,disengage,RLCL,real,long,complex,7.94e-07,8,2.9,"['D', 'IH0', 'S', 'IH0', 'N', 'G', 'EY1', 'JH']","['D', 'IH', 'S', 'IH', 'N', 'G', 'EY', 'JH']",VERB
171,discarding,RLCL,real,long,complex,7.41e-07,9,2.87,"['D', 'IH0', 'S', 'K', 'AA1', 'R', 'D', 'IH0', 'NG']","['D', 'IH', 'S', 'K', 'AA', 'R', 'D', 'IH', 'NG']",VERB
172,sculptural,RLCL,real,long,complex,7.94e-07,9,2.9,"['S', 'K', 'AH1', 'L', 'P', 'CH', 'ER0', 'AH0', 'L']","['S', 'K', 'AH', 'L', 'P', 'CH', 'ER', 'AH', 'L']",ADJ
173,withhold,RLCL,real,long,complex,1.91e-06,7,3.28,"['W', 'IH0', 'TH', 'HH', 'OW1', 'L', 'D']","['W', 'IH', 'TH', 'HH', 'OW', 'L', 'D']",VERB
174,faithfully,RLCL,real,long,complex,1.86e-06,7,3.27,"['F', 'EY1', 'TH', 'F', 'AH0', 'L', 'IY0']","['F', 'EY', 'TH', 'F', 'AH', 'L', 'IY']",ADV
175,destroyer,RLCL,real,long,complex,3.16e-06,7,3.5,"['D', 'IH0', 'S', 'T', 'R', 'OY1', 'ER0']","['D', 'IH', 'S', 'T', 'R', 'OY', 'ER']",NOUN
176,reconcile,RLCL,real,long,complex,3.16e-06,8,3.5,"['R', 'EH1', 'K', 'AH0', 'N', 'S', 'AY2', 'L']","['R', 'EH', 'K', 'AH', 'N', 'S', 'AY', 'L']",VERB
177,augmented,RLCL,real,long,complex,3.16e-06,8,3.5,"['AA0', 'G', 'M', 'EH1', 'N', 'T', 'AH0', 'D']","['AA', 'G', 'M', 'EH', 'N', 'T', 'AH', 'D']",VERB
178,comedians,RLCL,real,long,complex,3.09e-06,9,3.49,"['K', 'AH0', 'M', 'IY1', 'D', 'IY0', 'AH0', 'N', 'Z']","['K', 'AH', 'M', 'IY', 'D', 'IY', 'AH', 'N', 'Z']",NOUN
179,blueprint,RLCL,real,long,complex,3.02e-06,8,3.48,"['B', 'L', 'UW1', 'P', 'R', 'IH2', 'N', 'T']","['B', 'L', 'UW', 'P', 'R', 'IH', 'N', 'T']",NOUN
180,bombardier,RLCL,real,long,complex,7.59e-07,8,2.88,"['B', 'AA2', 'M', 'B', 'ER0', 'D', 'IH1', 'R']","['B', 'AA', 'M', 'B', 'ER', 'D', 'IH', 'R']",NOUN
181,hegemony,RLCL,real,long,complex,1.35e-06,8,3.13,"['HH', 'IY0', 'JH', 'EH1', 'M', 'AH0', 'N', 'IY0']","['HH', 'IY', 'JH', 'EH', 'M', 'AH', 'N', 'IY']",NOUN
182,upheaval,RLCL,real,long,complex,1.35e-06,7,3.13,"['AH0', 'P', 'HH', 'IY1', 'V', 'AH0', 'L']","['AH', 'P', 'HH', 'IY', 'V', 'AH', 'L']",NOUN
183,decency,RLCL,real,long,complex,3.16e-06,7,3.5,"['D', 'IY1', 'S', 'AH0', 'N', 'S', 'IY0']","['D', 'IY', 'S', 'AH', 'N', 'S', 'IY']",NOUN
184,bloodshed,RLCL,real,long,complex,1.95e-06,7,3.29,"['B', 'L', 'AH1', 'D', 'SH', 'EH2', 'D']","['B', 'L', 'AH', 'D', 'SH', 'EH', 'D']",VERB
185,garments,RLCL,real,long,complex,3.16e-06,8,3.5,"['G', 'AA1', 'R', 'M', 'AH0', 'N', 'T', 'S']","['G', 'AA', 'R', 'M', 'AH', 'N', 'T', 'S']",NOUN
186,patrolled,RLCL,real,long,complex,7.94e-07,7,2.9,"['P', 'AH0', 'T', 'R', 'OW1', 'L', 'D']","['P', 'AH', 'T', 'R', 'OW', 'L', 'D']",VERB
187,homestead,RLCL,real,long,complex,3.09e-06,7,3.49,"['HH', 'OW1', 'M', 'S', 'T', 'EH2', 'D']","['HH', 'OW', 'M', 'S', 'T', 'EH', 'D']",NOUN
188,bohemian,RLCL,real,long,complex,3.16e-06,8,3.5,"['B', 'OW0', 'HH', 'IY1', 'M', 'IY0', 'AH0', 'N']","['B', 'OW', 'HH', 'IY', 'M', 'IY', 'AH', 'N']",ADJ
189,unresolved,RLCL,real,long,complex,2e-06,9,3.3,"['AH0', 'N', 'R', 'IH0', 'Z', 'AA1', 'L', 'V', 'D']","['AH', 'N', 'R', 'IH', 'Z', 'AA', 'L', 'V', 'D']",ADJ
190,draconian,RLCL,real,long,complex,7.59e-07,9,2.88,"['D', 'R', 'EY0', 'K', 'OW1', 'N', 'IY0', 'AH0', 'N']","['D', 'R', 'EY', 'K', 'OW', 'N', 'IY', 'AH', 'N']",ADJ
191,recital,RLCL,real,long,complex,1.91e-06,7,3.28,"['R', 'AH0', 'S', 'AY1', 'T', 'AH0', 'L']","['R', 'AH', 'S', 'AY', 'T', 'AH', 'L']",NOUN
192,vacated,RLCL,real,long,complex,2e-06,7,3.3,"['V', 'EY0', 'K', 'EY1', 'T', 'AH0', 'D']","['V', 'EY', 'K', 'EY', 'T', 'AH', 'D']",VERB
193,unequal,RLCL,real,long,complex,2e-06,7,3.3,"['AH0', 'N', 'IY1', 'K', 'W', 'AH0', 'L']","['AH', 'N', 'IY', 'K', 'W', 'AH', 'L']",ADJ
194,schematic,RLCL,real,long,complex,1.32e-06,8,3.12,"['S', 'K', 'IH0', 'M', 'AE1', 'T', 'IH0', 'K']","['S', 'K', 'IH', 'M', 'AE', 'T', 'IH', 'K']",ADJ
195,botanical,RLCL,real,long,complex,3.09e-06,9,3.49,"['B', 'AH0', 'T', 'AE1', 'N', 'IH0', 'K', 'AH0', 'L']","['B', 'AH', 'T', 'AE', 'N', 'IH', 'K', 'AH', 'L']",PROPN
196,doolittle,RLCL,real,long,complex,7.76e-07,7,2.89,"['D', 'UW1', 'L', 'IH2', 'T', 'AH0', 'L']","['D', 'UW', 'L', 'IH', 'T', 'AH', 'L']",PROPN
197,culpable,RLCL,real,long,complex,7.76e-07,8,2.89,"['K', 'AH1', 'L', 'P', 'AH0', 'B', 'AH0', 'L']","['K', 'AH', 'L', 'P', 'AH', 'B', 'AH', 'L']",ADJ
198,insurers,RLCL,real,long,complex,3.09e-06,7,3.49,"['IH0', 'N', 'SH', 'UH1', 'R', 'ER0', 'Z']","['IH', 'N', 'SH', 'UH', 'R', 'ER', 'Z']",NOUN
199,abhorrent,RLCL,real,long,complex,9.33e-07,8,2.97,"['AE0', 'B', 'HH', 'AO1', 'R', 'AH0', 'N', 'T']","['AE', 'B', 'HH', 'AO', 'R', 'AH', 'N', 'T']",ADJ
200,implement,RLSH,real,long,simple,1.58e-05,9,4.2,"['IH1', 'M', 'P', 'L', 'AH0', 'M', 'AH0', 'N', 'T']","['IH', 'M', 'P', 'L', 'AH', 'M', 'AH', 'N', 'T']",VERB
201,opportunity,RLSH,real,long,simple,8.91e-05,9,4.95,"['AA2', 'P', 'ER0', 'T', 'UW1', 'N', 'AH0', 'T', 'IY0']","['AA', 'P', 'ER', 'T', 'UW', 'N', 'AH', 'T', 'IY']",NOUN
202,project,RLSH,real,long,simple,0.000166,7,5.22,"['P', 'R', 'AA1', 'JH', 'EH0', 'K', 'T']","['P', 'R', 'AA', 'JH', 'EH', 'K', 'T']",NOUN
203,contact,RLSH,real,long,simple,9.77e-05,7,4.99,"['K', 'AA1', 'N', 'T', 'AE2', 'K', 'T']","['K', 'AA', 'N', 'T', 'AE', 'K', 'T']",NOUN
204,important,RLSH,real,long,simple,0.000275,9,5.44,"['IH0', 'M', 'P', 'AO1', 'R', 'T', 'AH0', 'N', 'T']","['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'T']",ADJ
205,apparent,RLSH,real,long,simple,2.09e-05,7,4.32,"['AH0', 'P', 'EH1', 'R', 'AH0', 'N', 'T']","['AH', 'P', 'EH', 'R', 'AH', 'N', 'T']",ADJ
206,function,RLSH,real,long,simple,6.03e-05,7,4.78,"['F', 'AH1', 'NG', 'K', 'SH', 'AH0', 'N']","['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N']",NOUN
207,alabama,RLSH,real,long,simple,1.82e-05,7,4.26,"['AE2', 'L', 'AH0', 'B', 'AE1', 'M', 'AH0']","['AE', 'L', 'AH', 'B', 'AE', 'M', 'AH']",PROPN
208,presence,RLSH,real,long,simple,5.37e-05,7,4.73,"['P', 'R', 'EH1', 'Z', 'AH0', 'N', 'S']","['P', 'R', 'EH', 'Z', 'AH', 'N', 'S']",NOUN
209,strength,RLSH,real,long,simple,6.31e-05,7,4.8,"['S', 'T', 'R', 'EH1', 'NG', 'K', 'TH']","['S', 'T', 'R', 'EH', 'NG', 'K', 'TH']",NOUN
210,respect,RLSH,real,long,simple,0.000107,7,5.03,"['R', 'IH0', 'S', 'P', 'EH1', 'K', 'T']","['R', 'IH', 'S', 'P', 'EH', 'K', 'T']",NOUN
211,deputy,RLSH,real,long,simple,3.55e-05,7,4.55,"['D', 'EH1', 'P', 'Y', 'AH0', 'T', 'IY0']","['D', 'EH', 'P', 'Y', 'AH', 'T', 'IY']",NOUN
212,determine,RLSH,real,long,simple,4.27e-05,7,4.63,"['D', 'AH0', 'T', 'ER1', 'M', 'AH0', 'N']","['D', 'AH', 'T', 'ER', 'M', 'AH', 'N']",VERB
213,kentucky,RLSH,real,long,simple,2e-05,7,4.3,"['K', 'AH0', 'N', 'T', 'AH1', 'K', 'IY0']","['K', 'AH', 'N', 'T', 'AH', 'K', 'IY']",PROPN
214,opinion,RLSH,real,long,simple,8.71e-05,7,4.94,"['AH0', 'P', 'IH1', 'N', 'Y', 'AH0', 'N']","['AH', 'P', 'IH', 'N', 'Y', 'AH', 'N']",NOUN
215,benefit,RLSH,real,long,simple,6.61e-05,7,4.82,"['B', 'EH1', 'N', 'AH0', 'F', 'IH0', 'T']","['B', 'EH', 'N', 'AH', 'F', 'IH', 'T']",VERB
216,subject,RLSH,real,long,simple,9.12e-05,7,4.96,"['S', 'AH1', 'B', 'JH', 'IH0', 'K', 'T']","['S', 'AH', 'B', 'JH', 'IH', 'K', 'T']",NOUN
217,complain,RLSH,real,long,simple,1.7e-05,7,4.23,"['K', 'AH0', 'M', 'P', 'L', 'EY1', 'N']","['K', 'AH', 'M', 'P', 'L', 'EY', 'N']",VERB
218,economy,RLSH,real,long,simple,7.41e-05,7,4.87,"['IH0', 'K', 'AA1', 'N', 'AH0', 'M', 'IY0']","['IH', 'K', 'AA', 'N', 'AH', 'M', 'IY']",NOUN
219,clinton,RLSH,real,long,simple,3.72e-05,7,4.57,"['K', 'L', 'IH1', 'N', 'T', 'AH0', 'N']","['K', 'L', 'IH', 'N', 'T', 'AH', 'N']",PROPN
220,funeral,RLSH,real,long,simple,2.34e-05,7,4.37,"['F', 'Y', 'UW1', 'N', 'ER0', 'AH0', 'L']","['F', 'Y', 'UW', 'N', 'ER', 'AH', 'L']",NOUN
221,marijuana,RLSH,real,long,simple,1.58e-05,8,4.2,"['M', 'EH2', 'R', 'AH0', 'W', 'AA1', 'N', 'AH0']","['M', 'EH', 'R', 'AH', 'W', 'AA', 'N', 'AH']",NOUN
222,domestic,RLSH,real,long,simple,4.9e-05,8,4.69,"['D', 'AH0', 'M', 'EH1', 'S', 'T', 'IH0', 'K']","['D', 'AH', 'M', 'EH', 'S', 'T', 'IH', 'K']",ADJ
223,conduct,RLSH,real,long,simple,3.31e-05,7,4.52,"['K', 'AA1', 'N', 'D', 'AH0', 'K', 'T']","['K', 'AA', 'N', 'D', 'AH', 'K', 'T']",VERB
224,fantasy,RLSH,real,long,simple,3.31e-05,7,4.52,"['F', 'AE1', 'N', 'T', 'AH0', 'S', 'IY0']","['F', 'AE', 'N', 'T', 'AH', 'S', 'IY']",NOUN
225,contract,RLSH,real,long,simple,8.71e-05,8,4.94,"['K', 'AA1', 'N', 'T', 'R', 'AE2', 'K', 'T']","['K', 'AA', 'N', 'T', 'R', 'AE', 'K', 'T']",NOUN
226,washington,RLSH,real,long,simple,0.00012,8,5.08,"['W', 'AA1', 'SH', 'IH0', 'NG', 'T', 'AH0', 'N']","['W', 'AA', 'SH', 'IH', 'NG', 'T', 'AH', 'N']",PROPN
227,hundred,RLSH,real,long,simple,5.13e-05,7,4.71,"['HH', 'AH1', 'N', 'D', 'R', 'AH0', 'D']","['HH', 'AH', 'N', 'D', 'R', 'AH', 'D']",NUM
228,accident,RLSH,real,long,simple,5.13e-05,8,4.71,"['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T']","['AE', 'K', 'S', 'AH', 'D', 'AH', 'N', 'T']",NOUN
229,prevent,RLSH,real,long,simple,6.17e-05,7,4.79,"['P', 'R', 'IH0', 'V', 'EH1', 'N', 'T']","['P', 'R', 'IH', 'V', 'EH', 'N', 'T']",VERB
230,extreme,RLSH,real,long,simple,3.98e-05,7,4.6,"['IH0', 'K', 'S', 'T', 'R', 'IY1', 'M']","['IH', 'K', 'S', 'T', 'R', 'IY', 'M']",ADJ
231,academy,RLSH,real,long,simple,3.72e-05,7,4.57,"['AH0', 'K', 'AE1', 'D', 'AH0', 'M', 'IY0']","['AH', 'K', 'AE', 'D', 'AH', 'M', 'IY']",NOUN
232,parliament,RLSH,real,long,simple,5.5e-05,9,4.74,"['P', 'AA1', 'R', 'L', 'AH0', 'M', 'AH0', 'N', 'T']","['P', 'AA', 'R', 'L', 'AH', 'M', 'AH', 'N', 'T']",NOUN
233,article,RLSH,real,long,simple,0.000123,7,5.09,"['AA1', 'R', 'T', 'AH0', 'K', 'AH0', 'L']","['AA', 'R', 'T', 'AH', 'K', 'AH', 'L']",NOUN
234,dispute,RLSH,real,long,simple,1.86e-05,7,4.27,"['D', 'IH0', 'S', 'P', 'Y', 'UW1', 'T']","['D', 'IH', 'S', 'P', 'Y', 'UW', 'T']",VERB
235,extend,RLSH,real,long,simple,2.19e-05,7,4.34,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'D']","['IH', 'K', 'S', 'T', 'EH', 'N', 'D']",VERB
236,franchise,RLSH,real,long,simple,1.95e-05,7,4.29,"['F', 'R', 'AE1', 'N', 'CH', 'AY2', 'Z']","['F', 'R', 'AE', 'N', 'CH', 'AY', 'Z']",NOUN
237,brooklyn,RLSH,real,long,simple,1.78e-05,7,4.25,"['B', 'R', 'UH1', 'K', 'L', 'AH0', 'N']","['B', 'R', 'UH', 'K', 'L', 'AH', 'N']",PROPN
238,distinct,RLSH,real,long,simple,1.95e-05,8,4.29,"['D', 'IH0', 'S', 'T', 'IH1', 'NG', 'K', 'T']","['D', 'IH', 'S', 'T', 'IH', 'NG', 'K', 'T']",ADJ
239,michigan,RLSH,real,long,simple,3.47e-05,7,4.54,"['M', 'IH1', 'SH', 'IH0', 'G', 'AH0', 'N']","['M', 'IH', 'SH', 'IH', 'G', 'AH', 'N']",PROPN
240,hamilton,RLSH,real,long,simple,2.04e-05,8,4.31,"['HH', 'AE1', 'M', 'AH0', 'L', 'T', 'AH0', 'N']","['HH', 'AE', 'M', 'AH', 'L', 'T', 'AH', 'N']",PROPN
241,institute,RLSH,real,long,simple,6.31e-05,8,4.8,"['IH1', 'N', 'S', 'T', 'AH0', 'T', 'UW2', 'T']","['IH', 'N', 'S', 'T', 'AH', 'T', 'UW', 'T']",PROPN
242,disaster,RLSH,real,long,simple,2.45e-05,7,4.39,"['D', 'IH0', 'Z', 'AE1', 'S', 'T', 'ER0']","['D', 'IH', 'Z', 'AE', 'S', 'T', 'ER']",NOUN
243,innocent,RLSH,real,long,simple,2.82e-05,7,4.45,"['IH1', 'N', 'AH0', 'S', 'AH0', 'N', 'T']","['IH', 'N', 'AH', 'S', 'AH', 'N', 'T']",ADJ
244,secretary,RLSH,real,long,simple,8.91e-05,9,4.95,"['S', 'EH1', 'K', 'R', 'AH0', 'T', 'EH2', 'R', 'IY0']","['S', 'EH', 'K', 'R', 'AH', 'T', 'EH', 'R', 'IY']",NOUN
245,magazine,RLSH,real,long,simple,5.5e-05,7,4.74,"['M', 'AE1', 'G', 'AH0', 'Z', 'IY2', 'N']","['M', 'AE', 'G', 'AH', 'Z', 'IY', 'N']",NOUN
246,husband,RLSH,real,long,simple,0.0001,7,5.0,"['HH', 'AH1', 'Z', 'B', 'AH0', 'N', 'D']","['HH', 'AH', 'Z', 'B', 'AH', 'N', 'D']",NOUN
247,argentina,RLSH,real,long,simple,1.66e-05,9,4.22,"['AA2', 'R', 'JH', 'AH0', 'N', 'T', 'IY1', 'N', 'AH0']","['AA', 'R', 'JH', 'AH', 'N', 'T', 'IY', 'N', 'AH']",PROPN
248,concept,RLSH,real,long,simple,5.89e-05,7,4.77,"['K', 'AA1', 'N', 'S', 'EH0', 'P', 'T']","['K', 'AA', 'N', 'S', 'EH', 'P', 'T']",NOUN
249,champion,RLSH,real,long,simple,4.17e-05,7,4.62,"['CH', 'AE1', 'M', 'P', 'IY0', 'AH0', 'N']","['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N']",NOUN
250,capital,RLSH,real,long,simple,0.000102,7,5.01,"['K', 'AE1', 'P', 'AH0', 'T', 'AH0', 'L']","['K', 'AE', 'P', 'AH', 'T', 'AH', 'L']",NOUN
251,possible,RLSH,real,long,simple,0.000229,7,5.36,"['P', 'AA1', 'S', 'AH0', 'B', 'AH0', 'L']","['P', 'AA', 'S', 'AH', 'B', 'AH', 'L']",ADJ
252,privilege,RLSH,real,long,simple,1.58e-05,7,4.2,"['P', 'R', 'IH1', 'V', 'L', 'AH0', 'JH']","['P', 'R', 'IH', 'V', 'L', 'AH', 'JH']",NOUN
253,tournament,RLSH,real,long,simple,3.63e-05,9,4.56,"['T', 'UH1', 'R', 'N', 'AH0', 'M', 'AH0', 'N', 'T']","['T', 'UH', 'R', 'N', 'AH', 'M', 'AH', 'N', 'T']",NOUN
254,regular,RLSH,real,long,simple,8.91e-05,7,4.95,"['R', 'EH1', 'G', 'Y', 'AH0', 'L', 'ER0']","['R', 'EH', 'G', 'Y', 'AH', 'L', 'ER']",ADJ
255,request,RLSH,real,long,simple,5.75e-05,7,4.76,"['R', 'IH0', 'K', 'W', 'EH1', 'S', 'T']","['R', 'IH', 'K', 'W', 'EH', 'S', 'T']",VERB
256,oxygen,RLSH,real,long,simple,1.78e-05,7,4.25,"['AA1', 'K', 'S', 'AH0', 'JH', 'AH0', 'N']","['AA', 'K', 'S', 'AH', 'JH', 'AH', 'N']",NOUN
257,language,RLSH,real,long,simple,0.000126,7,5.1,"['L', 'AE1', 'NG', 'G', 'W', 'AH0', 'JH']","['L', 'AE', 'NG', 'G', 'W', 'AH', 'JH']",NOUN
258,calendar,RLSH,real,long,simple,2e-05,7,4.3,"['K', 'AE1', 'L', 'AH0', 'N', 'D', 'ER0']","['K', 'AE', 'L', 'AH', 'N', 'D', 'ER']",NOUN
259,interest,RLSH,real,long,simple,0.000148,7,5.17,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T']",NOUN
260,present,RLSH,real,long,simple,0.000151,7,5.18,"['P', 'R', 'EH1', 'Z', 'AH0', 'N', 'T']","['P', 'R', 'EH', 'Z', 'AH', 'N', 'T']",VERB
261,arizona,RLSH,real,long,simple,2.4e-05,7,4.38,"['EH2', 'R', 'IH0', 'Z', 'OW1', 'N', 'AH0']","['EH', 'R', 'IH', 'Z', 'OW', 'N', 'AH']",PROPN
262,protect,RLSH,real,long,simple,8.32e-05,7,4.92,"['P', 'R', 'AH0', 'T', 'EH1', 'K', 'T']","['P', 'R', 'AH', 'T', 'EH', 'K', 'T']",VERB
263,entirely,RLSH,real,long,simple,5.25e-05,7,4.72,"['IH0', 'N', 'T', 'AY1', 'ER0', 'L', 'IY0']","['IH', 'N', 'T', 'AY', 'ER', 'L', 'IY']",ADV
264,condition,RLSH,real,long,simple,7.24e-05,8,4.86,"['K', 'AH0', 'N', 'D', 'IH1', 'SH', 'AH0', 'N']","['K', 'AH', 'N', 'D', 'IH', 'SH', 'AH', 'N']",NOUN
265,religion,RLSH,real,long,simple,5.5e-05,7,4.74,"['R', 'IH0', 'L', 'IH1', 'JH', 'AH0', 'N']","['R', 'IH', 'L', 'IH', 'JH', 'AH', 'N']",NOUN
266,permanent,RLSH,real,long,simple,3.72e-05,8,4.57,"['P', 'ER1', 'M', 'AH0', 'N', 'AH0', 'N', 'T']","['P', 'ER', 'M', 'AH', 'N', 'AH', 'N', 'T']",ADJ
267,mutual,RLSH,real,long,simple,1.82e-05,8,4.26,"['M', 'Y', 'UW1', 'CH', 'AH0', 'W', 'AH0', 'L']","['M', 'Y', 'UW', 'CH', 'AH', 'W', 'AH', 'L']",ADJ
268,expect,RLSH,real,long,simple,0.000102,7,5.01,"['IH0', 'K', 'S', 'P', 'EH1', 'K', 'T']","['IH', 'K', 'S', 'P', 'EH', 'K', 'T']",VERB
269,struggle,RLSH,real,long,simple,4.17e-05,7,4.62,"['S', 'T', 'R', 'AH1', 'G', 'AH0', 'L']","['S', 'T', 'R', 'AH', 'G', 'AH', 'L']",VERB
270,sentence,RLSH,real,long,simple,3.8e-05,7,4.58,"['S', 'EH1', 'N', 'T', 'AH0', 'N', 'S']","['S', 'EH', 'N', 'T', 'AH', 'N', 'S']",NOUN
271,indonesia,RLSH,real,long,simple,1.78e-05,8,4.25,"['IH2', 'N', 'D', 'OW0', 'N', 'IY1', 'ZH', 'AH0']","['IH', 'N', 'D', 'OW', 'N', 'IY', 'ZH', 'AH']",PROPN
